name,num_rows,num_cols,nnz,avg_nnz_per_row,min_nnz_per_row,max_nnz_per_row,std_dev_nnz_per_row,avg_nnz_density_per_row,min_nnz_density_per_row,max_nnz_density_per_row,std_dev_nnz_density_per_row,K,best_num_partitions,best_max_bucket_width,autotuning_time(s),exe_time_hyb(ms),exe_time_naive(ms),speed_to_naive
dc2,116835,116835,766396,6.559643942,1,114190,361.4981023,5.61e-05,8.56e-06,0.977361236,0.003094091,32,1,64,1991.483017,0.106895,9.464719,88.5422
trans4,116835,116835,766396,6.559643942,1,114190,361.4981023,5.61e-05,8.56e-06,0.977361236,0.003094091,32,1,64,2153.739424,0.106742,9.40847,88.1422
dc1,116835,116835,766396,6.559643942,1,114190,361.4981023,5.61e-05,8.56e-06,0.977361236,0.003094091,32,1,64,2105.665011,0.107213,9.408758,87.7576
ASIC_680k,682862,682862,3871773,5.66992013,1,395259,659.807358,8.3e-06,1.46e-06,0.578827054,0.000966238,32,1,128,11710.81961,0.616786,37.563351,60.9018
mult_dcop_02,25187,25187,193276,7.673641164,1,22767,143.8138605,0.000304667,3.97e-05,0.903918688,0.005709845,32,1,32,123.9424615,0.0277197,1.563617,56.4082
mult_dcop_01,25187,25187,193276,7.673641164,1,22767,143.8138605,0.000304667,3.97e-05,0.903918688,0.005709845,32,1,32,114.1131315,0.0277299,1.563986,56.4007
blockqp1,60012,60012,640033,10.66508365,2,40011,305.4301532,0.000177716,3.33e-05,0.666716657,0.005089485,32,1,64,626.8583488,0.065536,3.446241,52.5855
boyd1,93279,93279,1211231,12.98503414,3,93261,653.397365,0.000139206,3.22e-05,0.999807031,0.007004764,32,8,32,1304.720071,0.123054,6.044478,49.1205
brainpc2,27607,27607,179395,6.498170754,1,13799,131.2550629,0.000235381,3.62e-05,0.499836998,0.004754412,32,1,32,223.3470338,0.0257536,1.21388,47.1344
ASIC_320k,321821,321821,2635364,8.18891247,1,203800,502.951409,2.54e-05,3.11e-06,0.633271291,0.00156283,32,1,64,3299.166731,0.379034,15.687086,41.387
hangGlider_5,16011,16011,155246,9.696208856,2,14231,112.4273591,0.000605597,0.000124914,0.888826432,0.007021882,64,1,16,19.86937343,0.0382259,1.538191,40.2395
hangGlider_4,15561,15561,149532,9.609408136,2,13831,110.8353632,0.000617532,0.000128526,0.888824626,0.007122638,32,1,32,24.8686858,0.0206234,0.824361,39.9721
rajat21,411676,411676,1893370,4.599175079,1,118689,188.7726632,1.12e-05,2.43e-06,0.288306824,0.000458547,32,1,64,1393.64766,0.280852,9.912422,35.2941
Chebyshev3,4101,4101,36879,8.992684711,3,4101,127.8440129,0.002192803,0.000731529,1.0,0.031173863,64,2,32,313.3261632,0.0132403,0.465193,35.1346
transient,178866,178866,961790,5.377153847,1,60423,147.1854846,3.01e-05,5.59e-06,0.337811546,0.000822881,32,1,64,240.595507,0.152945,5.252106,34.3398
rajat24,358172,358172,1948235,5.439383871,1,105296,180.1159959,1.52e-05,2.79e-06,0.293981662,0.000502876,32,1,16,2170.292091,0.289034,8.947271,30.9558
vsp_model1_crew1_cr42_south31,45101,45101,379952,8.424469524,1,17663,121.4892376,0.000186791,2.22e-05,0.391632115,0.002693715,32,1,64,139.4411603,0.0435712,1.344768,30.8637
rajat16,94294,94294,641159,6.799573674,1,28755,97.72929148,7.21e-05,1.06e-05,0.304950474,0.001036432,32,1,16,294.0387804,0.0846131,2.452162,28.9809
lowThrust_12,18458,18458,224593,12.16778633,2,7177,74.70972881,0.000659215,0.000108354,0.388828692,0.004047553,64,1,16,220.7091328,0.0358605,1.031352,28.7601
lowThrust_9,18044,18044,219589,12.16964088,2,7016,73.86696198,0.000674443,0.00011084,0.388827311,0.004093713,64,1,16,180.5481703,0.0354509,0.982579,27.7166
rajat17,94294,94294,641159,6.799573674,1,28755,97.72929148,7.21e-05,1.06e-05,0.304950474,0.001036432,32,1,16,310.0473329,0.0844902,2.293166,27.1412
shermanACb,18510,18510,145149,7.84165316,1,10405,99.9494537,0.000423644,5.4e-05,0.562128579,0.005399754,32,1,16,79.15143334,0.0210637,0.568044,26.9679
lowThrust_13,18476,18476,224897,12.1723858,2,7184,74.74627283,0.000658821,0.000108249,0.388828751,0.004045587,64,1,16,174.3268899,0.0354304,0.934246,26.3685
rajat13,7598,7598,48922,6.438799684,1,5412,69.14659061,0.000847433,0.000131614,0.712292709,0.009100631,32,1,16,58.61053354,0.011991,0.310374,25.8839
shermanACd,6136,6136,53329,8.691166884,1,5181,67.91661206,0.001416422,0.000162973,0.844361147,0.011068548,32,1,16,34.78911754,0.0117965,0.304599,25.8211
lowThrust_7,17378,17378,211561,12.17407066,2,6757,72.49062962,0.000700545,0.000115088,0.388824951,0.004171402,64,1,16,60.1972253,0.0339558,0.86316,25.4201
