name,num_rows,num_cols,nnz,avg_nnz_per_row,min_nnz_per_row,max_nnz_per_row,std_dev_nnz_per_row,avg_nnz_density_per_row,min_nnz_density_per_row,max_nnz_density_per_row,std_dev_nnz_density_per_row,K,best_num_partitions,best_max_bucket_width,autotuning_time(s),exe_time_hyb(ms),exe_time_naive(ms),speed_to_naive
gupta1,31802,31802,2164210,68.0526382,3,8413,360.302936,0.002139885485,9.43e-05,0.2645431105,0.01132956846,32,2,32,141.6980967,0.134646,0.683162,5.07376
matrix_9,103430,103430,2121550,20.51194044,12,4057,17.79379203,0.000198317127,0.000116020497,0.03922459635,0.0001720370495,128,2,32,130.227571,0.425318,0.853084,2.00576
rajat24,358172,358172,1948235,5.439383871,1,105296,180.1159959,1.52e-05,2.79e-06,0.2939816624,0.0005028757018,64,64,16,4940.02942,0.56446,12.834273,22.7373
opt1,15449,15449,1930655,124.9695773,44,243,42.49478438,0.008089169352,0.002848080782,0.01572917341,0.002750649517,32,4,16,41.34990799,0.102164,0.115856,1.13402
Zd_Jac3,22835,22835,1916152,83.91294066,1,1050,191.3900959,0.003674751069,4.38e-05,0.04598204511,0.008381436213,64,8,16,112.4185821,0.146278,0.208384,1.42458
Zd_Jac6,22835,22835,1711983,74.97188526,1,1050,175.4823306,0.003283200581,4.38e-05,0.04598204511,0.007684796609,32,2,16,58.39016219,0.092928,0.136489,1.46876
Zd_Jac2,22835,22835,1642833,71.94363915,1,924,164.3953419,0.003150586343,4.38e-05,0.04046419969,0.007199270502,64,2,16,54.81835869,0.129352,0.183603,1.41941
sparsine,50000,50000,1548988,30.97976,6,56,11.1545269,0.0006195952,0.00012,0.00112,0.000223090538,32,2,32,57.09537494,0.116654,0.133284,1.14256
SiO,33401,33401,1317655,39.44956738,7,584,58.02042613,0.00118108941,0.0002095745636,0.01748450645,0.001737086498,64,2,16,121.4365207,0.119153,0.134973,1.13277
std1_Jac2,21982,21982,1248731,56.80697844,1,898,145.5875271,0.00258424977,4.55e-05,0.04085160586,0.006623033715,64,2,16,48.43103274,0.107264,0.15913,1.48354
msc10848,10848,10848,1229778,113.3644912,45,723,48.09385873,0.01045026651,0.004148230088,0.06664823009,0.004433430931,32,2,16,42.49128588,0.071721,0.083917,1.17005
boyd1,93279,93279,1211231,12.98503414,3,93261,653.397365,0.0001392064039,3.22e-05,0.9998070305,0.007004763827,32,8,32,1304.720071,0.123054,6.044478,49.1205
3D_51448_3D,51448,51448,1056610,20.53743586,12,5671,28.40330925,0.0003991882261,0.0002332452185,0.1102278028,0.000552078006,128,2,32,205.5562253,0.219341,0.877732,4.00168
ibm_matrix_2,51448,51448,1056610,20.53743586,12,5671,28.40330925,0.0003991882261,0.0002332452185,0.1102278028,0.000552078006,128,2,32,231.3333507,0.215204,0.87681,4.07432
case39,40216,40216,1042160,25.91406405,1,20024,316.2263181,0.0006443719926,2.49e-05,0.4979112791,0.007863196691,64,8,32,5299.561139,0.132372,2.524242,19.0693
gyro,17361,17361,1021159,58.81913484,12,360,32.05055307,0.00338800385,0.0006912044237,0.02073613271,0.001846123672,64,2,16,96.7142695,0.0789197,0.089149,1.12962
gyro_k,17361,17361,1021159,58.81913484,12,360,32.05055307,0.00338800385,0.0006912044237,0.02073613271,0.001846123672,64,4,16,86.34037791,0.0796979,0.089129,1.11834
Si10H16,17077,17077,875923,51.29255724,7,393,62.79460117,0.003003604687,0.0004099080635,0.02301340985,0.003677144766,32,2,16,41.82280007,0.0553267,0.073318,1.32518
sme3Da,12504,12504,874887,69.96857006,24,345,34.92901659,0.005595694982,0.001919385797,0.02759117083,0.002793427431,64,2,32,46.29022222,0.0821248,0.101274,1.23317
vsp_vibrobox_scagr7-2c_rlfddd,77328,77328,871172,11.26593213,1,669,21.16897821,0.0001456902045,1.29e-05,0.008651458721,0.0002737556669,64,2,8,174.6801779,0.146319,0.207595,1.41878
fp,7548,7548,848553,112.4209062,18,957,207.8246248,0.01489413172,0.002384737679,0.1267885533,0.02753373408,32,4,16,45.84631716,0.0500634,0.103199,2.06137
TSC_OPF_300,9774,9774,820804,83.9783098,1,4206,193.0304621,0.008592010416,0.000102312257,0.430325353,0.01974938225,32,8,16,111.1554635,0.0569856,0.371312,6.51589
bundle1,10581,10581,770901,72.85710235,17,1711,198.7971241,0.006885653752,0.001606653435,0.1617049428,0.0187881225,32,2,32,105.0339818,0.047913,0.135117,2.82005
TSOPF_FS_b39_c7,28216,28216,730080,25.87468103,1,14024,264.4360371,0.0009170215846,3.54e-05,0.4970229657,0.009371847077,64,4,64,3948.571536,0.0888422,1.675848,18.8632
cyl6,13681,13681,714241,52.20678313,36,721,7.846268,0.003816006369,0.002631386595,0.05270082596,0.0005735156787,32,2,16,33.63958448,0.0470938,0.087224,1.85213
heart2,2339,2339,682797,291.9183412,56,603,75.6386614,0.1248047632,0.02394185549,0.2578024797,0.03233803395,32,2,16,44.42849456,0.0390861,0.062484,1.59862
Zd_Jac2_db,22835,22835,676439,29.62290344,1,224,57.36149447,0.001297258745,4.38e-05,0.009809502956,0.002511998882,32,2,16,45.53062666,0.0450867,0.057211,1.26891
g7jac160sc,47430,47430,656616,13.84389627,2,153,24.15811915,0.0002918805876,4.22e-05,0.003225806452,0.0005093425922,32,2,16,99.65418549,0.0549069,0.062024,1.12962
rajat16,94294,94294,641159,6.799573674,1,28755,97.72929148,7.21e-05,1.06e-05,0.304950474,0.001036431708,64,16,16,309.4844635,0.157153,3.523666,22.4219
rajat17,94294,94294,641159,6.799573674,1,28755,97.72929148,7.21e-05,1.06e-05,0.304950474,0.001036431708,64,16,16,300.0234531,0.154276,3.519365,22.8121
blockqp1,60012,60012,640033,10.66508365,2,40011,305.4301532,0.000177715851,3.33e-05,0.6667166567,0.005089484656,64,2,64,767.4299447,0.13485,5.025249,37.2655
k49_norm_10NN,38547,38547,618158,16.03647495,10,551,8.324356152,0.0004160239436,0.0002594235608,0.0142942382,0.0002159534115,32,2,16,57.23353435,0.0565555,0.076902,1.35976
3D_28984_Tetra,28984,28984,599170,20.67243997,12,3817,29.73923503,0.0007132362671,0.0004140215291,0.1316933481,0.001026056963,256,8,16,228.2933136,0.245238,0.645939,2.63393
rajat23,110355,110355,556938,5.046785374,1,3401,19.37161568,4.57e-05,9.06e-06,0.0308187214,0.0001755390845,32,8,8,66.33058649,0.078889,0.355758,4.5096
psmigr_1,3140,3140,543162,172.9815287,4,2294,191.6412028,0.05508965881,0.00127388535,0.7305732484,0.06103223019,32,2,16,19.95564131,0.0329933,0.175913,5.33178
std1_Jac3_db,21982,21982,531826,24.19370394,1,211,51.35770025,0.001100614318,4.55e-05,0.009598762624,0.002336352482,64,2,16,42.44315067,0.0514355,0.067676,1.31574
ted_AB,10605,10605,522387,49.25855728,2,196,45.98728791,0.004644842743,0.0001885902876,0.01848184818,0.004336377926,64,8,16,96.45294334,0.0459059,0.053996,1.17623
ted_AB_unscaled,10605,10605,522387,49.25855728,2,196,45.98728791,0.004644842743,0.0001885902876,0.01848184818,0.004336377926,64,2,16,225.0565062,0.0447283,0.054211,1.21201
g7jac120,35550,35550,475296,13.36978903,2,153,23.29006401,0.0003760840796,5.63e-05,0.004303797468,0.0006551354152,32,2,16,74.56594449,0.0407552,0.049029,1.20301
bcsstk17,10974,10974,428650,39.06050665,1,150,15.41356206,0.003559368202,9.11e-05,0.01366867141,0.001404552766,64,2,16,50.80718129,0.0377549,0.042998,1.13887
