name,format,feat_size,num_parts,time_select(s),time_num_parts(s),time_bucket(s),time_exe_our(ms)
reorientation_2,CELL,32,1,0.005879528820514679,0.005535252392292023,0.05281516723334789,0.009676801040768623
reorientation_2,CELL,64,1,0.005879528820514679,0.0064398180693387985,0.05273785442113876,0.0106598399579525
reorientation_2,CELL,128,1,0.005879528820514679,0.006481168791651726,0.05462280288338661,0.01248256117105484
reorientation_2,CELL,256,1,0.005879528820514679,0.006924517452716827,0.0527506060898304,0.016957441344857216
reorientation_2,CELL,512,1,0.005879528820514679,0.007105372846126556,0.05476806312799454,0.025589758530259132
nd24k,CSR,32,0,0.008026357740163803,0,0,1.3424742221832275
nd24k,CSR,64,0,0.008026357740163803,0,0,1.6588596105575562
nd24k,CSR,128,0,0.008026357740163803,0,0,3.318026542663574
nd24k,CSR,256,0,0.008026357740163803,0,0,6.7480268478393555
nd24k,CSR,512,0,0.008026357740163803,0,0,13.64002799987793
TSOPF_RS_b300_c2,CELL,32,1,0.007666649296879768,0.006560241803526878,8.585404744371772,0.17453056573867798
TSOPF_RS_b300_c2,CELL,64,1,0.007666649296879768,0.0077035389840602875,8.500843435525894,0.26153984665870667
TSOPF_RS_b300_c2,CELL,128,1,0.007666649296879768,0.0070936232805252075,8.677107725292444,0.4951449930667877
TSOPF_RS_b300_c2,CELL,256,1,0.007666649296879768,0.007290476933121681,8.764295350760221,0.968396782875061
TSOPF_RS_b300_c2,CELL,512,1,0.007666649296879768,0.007062496617436409,8.587250480428338,1.8563891649246216
ted_B,CELL,32,1,0.007324473932385445,0.006398795172572136,0.418163126334548,0.01443840004503727
ted_B,CELL,64,1,0.007324473932385445,0.006562788039445877,0.42484217695891857,0.021975040435791016
ted_B,CELL,128,1,0.007324473932385445,0.006525872275233269,0.419965460896492,0.034170880913734436
ted_B,CELL,256,1,0.007324473932385445,0.006548207253217697,0.42296201549470425,0.05997567996382713
ted_B,CELL,512,1,0.007324473932385445,0.006455663591623306,0.42050902359187603,0.11374592781066895
c-44,CELL,32,1,0.006552787497639656,0.0059838127344846725,0.2622654978185892,0.013424642384052277
c-44,CELL,64,1,0.006552787497639656,0.006511984393000603,0.2600094936788082,0.020869119092822075
c-44,CELL,128,1,0.006552787497639656,0.006490699946880341,0.26044602505862713,0.031580161303281784
c-44,CELL,256,1,0.006552787497639656,0.006533391773700714,0.26144581101834774,0.0548044815659523
c-44,CELL,512,1,0.006552787497639656,0.006446098908782005,0.435814356431365,0.1032908707857132
Trefethen_20000,CSR,32,0,0.0067579299211502075,0,0,0.03476480394601822
Trefethen_20000,CSR,64,0,0.0067579299211502075,0,0,0.05439487844705582
Trefethen_20000,CSR,128,0,0.0067579299211502075,0,0,0.10264576226472855
Trefethen_20000,CSR,256,0,0.0067579299211502075,0,0,0.18410496413707733
Trefethen_20000,CSR,512,0,0.0067579299211502075,0,0,0.3626905381679535
GD97_c,CELL,32,1,0.006582979112863541,0.005991294980049133,0.0017870888113975525,0.008417279459536076
GD97_c,CELL,64,1,0.006582979112863541,0.006639733910560608,0.0016221068799495697,0.014120958745479584
GD97_c,CELL,128,2,0.006582979112863541,0.0068292077630758286,0.00189271941781044,0.00877568032592535
GD97_c,CELL,256,1,0.006582979112863541,0.0064627379179000854,0.001605084165930748,0.015411199070513248
GD97_c,CELL,512,4,0.006582979112863541,0.006463721394538879,0.002150343731045723,0.0076800002716481686
graham1,CELL,32,1,0.006458308547735214,0.005929959937930107,0.9766555577516556,0.03326975926756859
graham1,CELL,64,1,0.006458308547735214,0.0065530333667993546,0.9839501455426216,0.040243200957775116
graham1,CELL,128,2,0.006458308547735214,0.006461193785071373,0.968272227793932,0.07016447931528091
graham1,CELL,256,2,0.006458308547735214,0.006494998931884766,0.9724003355950117,0.12401663511991501
graham1,CELL,512,2,0.006458308547735214,0.0064376890659332275,0.9754720237106085,0.23251968622207642
nv2,CELL,32,4,0.007576392963528633,0.006502751260995865,172.83650688827038,7.093637466430664
nv2,CELL,64,4,0.007576392963528633,0.00796995684504509,169.82198519073427,15.724482536315918
nv2,CELL,128,1,0.007576392963528633,0.007520368322730064,173.06547413393855,38.36238098144531
nv2,CELL,256,1,0.007576392963528633,0.007576135918498039,170.640563076362,76.73928833007812
nv2,CELL,512,1,0.007576392963528633,0.007512390613555908,181.1607638541609,153.42251586914062
EX4,CELL,32,1,0.0073735062032938,0.005951179191470146,0.19059195183217525,0.010239999741315842
EX4,CELL,64,1,0.0073735062032938,0.0061192866414785385,0.19138477742671967,0.012677120044827461
EX4,CELL,128,1,0.0073735062032938,0.006978612393140793,0.20219161733984947,0.017285121604800224
EX4,CELL,256,1,0.0073735062032938,0.006180061027407646,0.18762530200183392,0.030945276841521263
EX4,CELL,512,1,0.0073735062032938,0.0073397159576416016,0.20767852291464806,0.04805631935596466
olm2000,CSR,32,0,0.006518341600894928,0,0,0.006707200314849615
olm2000,CSR,64,0,0.006518341600894928,0,0,0.007311360910534859
olm2000,CSR,128,0,0.006518341600894928,0,0,0.008345600217580795
olm2000,CSR,256,0,0.006518341600894928,0,0,0.011540479958057404
olm2000,CSR,512,0,0.006518341600894928,0,0,0.01669120043516159
lund_b,CELL,32,1,0.006377482786774635,0.006066737696528435,0.006600614637136459,0.005888000130653381
lund_b,CELL,64,1,0.006377482786774635,0.006282191723585129,0.006574137136340141,0.00678911991417408
lund_b,CELL,128,1,0.006377482786774635,0.006295306608080864,0.006550254300236702,0.0067276800982654095
lund_b,CELL,256,1,0.006377482786774635,0.006300712004303932,0.006652630865573883,0.0071270400658249855
lund_b,CELL,512,1,0.006377482786774635,0.006298547610640526,0.006530581042170525,0.008120320737361908
Long_Coup_dt6,CSR,32,0,0.007613573223352432,0,0,4.0398335456848145
Long_Coup_dt6,CSR,64,0,0.007613573223352432,0,0,5.748510837554932
Long_Coup_dt6,CSR,128,0,0.007613573223352432,0,0,11.42572021484375
Long_Coup_dt6,CSR,256,0,0.007613573223352432,0,0,23.029373168945312
Long_Coup_dt6,CSR,512,0,0.007613573223352432,0,0,46.114009857177734
jagmesh7,CSR,32,0,0.006999704986810684,0,0,0.006983680184930563
jagmesh7,CSR,64,0,0.006999704986810684,0,0,0.007260160520672798
jagmesh7,CSR,128,0,0.006999704986810684,0,0,0.00805888045579195
jagmesh7,CSR,256,0,0.006999704986810684,0,0,0.009666559286415577
jagmesh7,CSR,512,0,0.006999704986810684,0,0,0.01341440062969923
Zd_Jac2,CELL,32,1,0.007108043879270554,0.006187122315168381,4.331522274762392,0.13648895919322968
Zd_Jac2,CELL,64,2,0.007108043879270554,0.0075067877769470215,4.297450080513954,0.2962022125720978
Zd_Jac2,CELL,128,8,0.007108043879270554,0.007188502699136734,4.610668754205108,0.5371084809303284
Zd_Jac2,CELL,256,8,0.007108043879270554,0.007031075656414032,4.488531608134508,0.8722841739654541
Zd_Jac2,CELL,512,8,0.007108043879270554,0.007138475775718689,4.466232215985656,1.469112753868103
bcsstm24,CSR,32,0,0.00677134282886982,0,0,0.007157759740948677
bcsstm24,CSR,64,0,0.00677134282886982,0,0,0.007864320650696754
bcsstm24,CSR,128,0,0.00677134282886982,0,0,0.01035264041274786
bcsstm24,CSR,256,0,0.00677134282886982,0,0,0.014991359785199165
bcsstm24,CSR,512,0,0.00677134282886982,0,0,0.02439168468117714
bips07_3078,CELL,32,1,0.00643218494951725,0.00566452369093895,0.3772978391498327,0.015288319438695908
bips07_3078,CELL,64,1,0.00643218494951725,0.006267780438065529,0.21854859963059425,0.024893440306186676
bips07_3078,CELL,128,1,0.00643218494951725,0.006000088527798653,0.2196758035570383,0.043622396886348724
bips07_3078,CELL,256,1,0.00643218494951725,0.006334926933050156,0.22348342649638653,0.0824831947684288
bips07_3078,CELL,512,1,0.00643218494951725,0.005980007350444794,0.2211443092674017,0.15889407694339752
Geo_1438,CSR,32,0,0.007611038163304329,0,0,3.050905466079712
Geo_1438,CSR,64,0,0.007611038163304329,0,0,4.509286403656006
Geo_1438,CSR,128,0,0.007611038163304329,0,0,8.983562469482422
Geo_1438,CSR,256,0,0.007611038163304329,0,0,17.647193908691406
Geo_1438,CSR,512,0,0.007611038163304329,0,0,35.417842864990234
offshore,CSR,32,0,0.007619813084602356,0,0,0.2978714108467102
offshore,CSR,64,0,0.007619813084602356,0,0,0.4441702365875244
offshore,CSR,128,0,0.007619813084602356,0,0,0.8695398569107056
offshore,CSR,256,0,0.007619813084602356,0,0,1.6311193704605103
offshore,CSR,512,0,0.007619813084602356,0,0,3.213865041732788
com-Amazon,CELL,32,1,0.007299695163965225,0.006580829620361328,6.444403210654855,0.37866494059562683
com-Amazon,CELL,64,1,0.007299695163965225,0.007439570501446724,6.446959303691983,0.7292928099632263
com-Amazon,CELL,128,1,0.007299695163965225,0.0076986681669950485,6.422257993370295,1.481502652168274
com-Amazon,CELL,256,1,0.007299695163965225,0.007470153272151947,6.2884702160954475,2.9738597869873047
com-Amazon,CELL,512,1,0.007299695163965225,0.007000116631388664,6.287027338519692,5.9471354484558105
kineticBatchReactor_3,CELL,32,1,0.01033732295036316,0.006152564659714699,0.1485687494277954,0.011110399849712849
kineticBatchReactor_3,CELL,64,1,0.01033732295036316,0.006237531080842018,0.1467673759907484,0.016271360218524933
kineticBatchReactor_3,CELL,128,1,0.01033732295036316,0.006144756451249123,0.14616036601364613,0.02401280216872692
kineticBatchReactor_3,CELL,256,1,0.01033732295036316,0.006179865449666977,0.1482264157384634,0.03764224424958229
kineticBatchReactor_3,CELL,512,1,0.01033732295036316,0.006212623789906502,0.14787735044956207,0.06634495407342911
fpga_dcop_13,CELL,32,1,0.006543649360537529,0.00574619323015213,0.01752554066479206,0.006000640336424112
fpga_dcop_13,CELL,64,1,0.006543649360537529,0.0062598902732133865,0.01738136075437069,0.0071270400658249855
fpga_dcop_13,CELL,128,1,0.006543649360537529,0.006211278960108757,0.017216436564922333,0.008212479762732983
fpga_dcop_13,CELL,256,1,0.006543649360537529,0.006235692650079727,0.017193377017974854,0.010393599048256874
fpga_dcop_13,CELL,512,1,0.006543649360537529,0.006146496161818504,0.017496734857559204,0.014899199828505516
rgg_n_2_18_s0,CSR,32,0,0.006474331021308899,0,0,0.25382912158966064
rgg_n_2_18_s0,CSR,64,0,0.006474331021308899,0,0,0.32731133699417114
rgg_n_2_18_s0,CSR,128,0,0.006474331021308899,0,0,0.6511309146881104
rgg_n_2_18_s0,CSR,256,0,0.006474331021308899,0,0,1.248307228088379
rgg_n_2_18_s0,CSR,512,0,0.006474331021308899,0,0,2.499870538711548
mycielskian18,CELL,32,1,0.007770048454403877,0.007466614246368408,845.3693827353418,21.745779037475586
mycielskian18,CELL,64,1,0.007770048454403877,0.00780411995947361,854.6103170197457,45.84849548339844
mycielskian18,CELL,128,1,0.007770048454403877,0.00794932059943676,850.2647897321731,91.52267456054688
mycielskian18,CELL,256,1,0.007770048454403877,0.007828233763575554,848.4906686786562,180.2351531982422
mycielskian18,CELL,512,1,0.007770048454403877,0.008295265957713127,850.6880011409521,358.9302978515625
can_24,CSR,32,0,0.007314091548323631,0,0,0.005908480379730463
can_24,CSR,64,0,0.007314091548323631,0,0,0.005908479914069176
can_24,CSR,128,0,0.007314091548323631,0,0,0.006113280542194843
can_24,CSR,256,0,0.007314091548323631,0,0,0.006174719892442226
can_24,CSR,512,0,0.007314091548323631,0,0,0.006256640423089266
