name,format,feat_size,num_parts,time_select(s),time_num_parts(s),time_bucket(s),time_exe_our(ms)
fe_tooth,CSR,32,0,0.005498075857758522,0,0,0.0821145549416542
fe_tooth,CSR,64,0,0.005498075857758522,0,0,0.1219584047794342
fe_tooth,CSR,128,0,0.005498075857758522,0,0,0.24742911756038666
fe_tooth,CSR,256,0,0.005498075857758522,0,0,0.46186497807502747
fe_tooth,CSR,512,0,0.005498075857758522,0,0,0.9046118259429932
barth5,CSR,32,0,0.007801080122590065,0,0,0.014817280694842339
barth5,CSR,64,0,0.007801080122590065,0,0,0.018759679049253464
barth5,CSR,128,0,0.007801080122590065,0,0,0.0319795235991478
barth5,CSR,256,0,0.007801080122590065,0,0,0.0555417574942112
barth5,CSR,512,0,0.007801080122590065,0,0,0.10268671065568924
Ecoli_10NN,CELL,32,1,0.00671306811273098,0.006293166428804398,0.011824242770671844,0.0058675198815763
Ecoli_10NN,CELL,64,1,0.00671306811273098,0.005999090149998665,0.01165674813091755,0.006318080238997936
Ecoli_10NN,CELL,128,1,0.00671306811273098,0.006379533559083939,0.01161411963403225,0.00677888048812747
Ecoli_10NN,CELL,256,1,0.00671306811273098,0.006271796301007271,0.011244066059589386,0.007403520401567221
Ecoli_10NN,CELL,512,1,0.00671306811273098,0.006094969809055328,0.011502653360366821,0.009625599719583988
dwt_758,CELL,32,1,0.005931437015533447,0.005630318075418472,0.0155112873762846,0.006410239730030298
dwt_758,CELL,64,1,0.005931437015533447,0.006025845184922218,0.01561889611184597,0.007157759740948677
dwt_758,CELL,128,1,0.005931437015533447,0.006537983193993568,0.015465056523680687,0.007772160228341818
dwt_758,CELL,256,1,0.005931437015533447,0.00595448724925518,0.015288705006241798,0.008816640824079514
dwt_758,CELL,512,1,0.005931437015533447,0.005946774035692215,0.015828507021069527,0.012328960932791233
HEP-th,CELL,32,1,0.006947839632630348,0.0062433332204818726,0.9260845240205526,0.033925119787454605
HEP-th,CELL,64,1,0.006947839632630348,0.0065180398523807526,0.9171090461313725,0.047851525247097015
HEP-th,CELL,128,1,0.006947839632630348,0.006074676290154457,0.923227846622467,0.08474624902009964
HEP-th,CELL,256,1,0.006947839632630348,0.006019504740834236,1.1294339392334223,0.16365569829940796
HEP-th,CELL,512,1,0.006947839632630348,0.006161075085401535,0.9208150189369917,0.3113779127597809
fpga_dcop_09,CELL,32,1,0.006594141945242882,0.005721729248762131,0.016150491312146187,0.006297600455582142
fpga_dcop_09,CELL,64,1,0.006594141945242882,0.005871433764696121,0.016194162890315056,0.0069017596542835236
fpga_dcop_09,CELL,128,1,0.006594141945242882,0.005980661138892174,0.015727633610367775,0.008130560629069805
fpga_dcop_09,CELL,256,1,0.006594141945242882,0.005910707637667656,0.016652580350637436,0.010536960326135159
fpga_dcop_09,CELL,512,1,0.006594141945242882,0.0059547461569309235,0.01617276296019554,0.015032320283353329
