name,format,feat_size,num_parts,time_select(s),time_num_parts(s),time_bucket(s),time_exe_our(ms)
af_5_k101,BSR,32,0,0.00734356977045536,0,0,0.5342921614646912
af_5_k101,CSR,64,0,0.00734356977045536,0,0,1.11186945438385
af_5_k101,CSR,128,0,0.00734356977045536,0,0,2.2470757961273193
af_5_k101,CSR,256,0,0.00734356977045536,0,0,4.402769565582275
af_5_k101,CSR,512,0,0.00734356977045536,0,0,8.9667387008667
g7jac160sc,CELL,32,1,0.007265087217092514,0.0060045067220926285,1.740366855636239,0.06595583260059357
g7jac160sc,CELL,64,1,0.007265087217092514,0.006223492324352264,1.9432710483670235,0.11734016239643097
g7jac160sc,CELL,128,1,0.007265087217092514,0.00611046701669693,1.774514915421605,0.2223103642463684
g7jac160sc,CELL,256,1,0.007265087217092514,0.006878439337015152,1.7467703875154257,0.4123340845108032
g7jac160sc,CELL,512,1,0.007265087217092514,0.006915898993611336,1.9185030963271856,0.8143154978752136
bips07_1998,CELL,32,1,0.0064548105001449585,0.005734076723456383,0.1760204117745161,0.013281281106173992
bips07_1998,CELL,64,1,0.0064548105001449585,0.00583941675722599,0.17220338806509972,0.019875839352607727
bips07_1998,CELL,128,1,0.0064548105001449585,0.005914509296417236,0.17414836026728153,0.033884160220623016
bips07_1998,CELL,256,1,0.0064548105001449585,0.006421569734811783,0.1746520008891821,0.06091776490211487
bips07_1998,CELL,512,1,0.0064548105001449585,0.0059162043035030365,0.17314556427299976,0.11385855823755264
shermanACd,CELL,32,1,0.006264764815568924,0.005593311041593552,0.14409292489290237,0.012799999676644802
shermanACd,CELL,64,1,0.006264764815568924,0.005820728838443756,0.14330223202705383,0.018350079655647278
shermanACd,CELL,128,1,0.006264764815568924,0.006177831441164017,0.14260704815387726,0.030781438574194908
shermanACd,CELL,256,2,0.006264764815568924,0.005929363891482353,0.2942592464387417,0.060170236974954605
shermanACd,CELL,512,2,0.006264764815568924,0.006025679409503937,0.14540925063192844,0.11468800902366638
RFdevice,CELL,32,1,0.006484502926468849,0.005336299538612366,0.9990535378456116,0.0646553561091423
RFdevice,CELL,64,1,0.006484502926468849,0.006088616326451302,1.1420004274696112,0.10850303620100021
RFdevice,CELL,128,1,0.006484502926468849,0.006628245115280151,1.1378866452723742,0.20663295686244965
RFdevice,CELL,256,1,0.006484502926468849,0.005923708900809288,1.0020943265408278,0.40365055203437805
RFdevice,CELL,512,1,0.006484502926468849,0.0059390440583229065,1.1343817561864853,0.8008499145507812
GD01_b,CELL,32,1,0.006045816466212273,0.005448604002594948,0.00019910000264644623,0.005089280195534229
GD01_b,CELL,64,1,0.006045816466212273,0.00582684762775898,0.0002048257738351822,0.005201919469982386
GD01_b,CELL,128,1,0.006045816466212273,0.005967753008008003,0.00022066384553909302,0.005222399719059467
GD01_b,CELL,256,1,0.006045816466212273,0.005996145308017731,0.00020116567611694336,0.005273600108921528
GD01_b,CELL,512,1,0.006045816466212273,0.005950804799795151,0.00019866228103637695,0.005253119859844446
HTC_336_9129,CELL,32,1,0.006328234449028969,0.0056093670427799225,2.712500685825944,0.21150720119476318
HTC_336_9129,CELL,64,1,0.006328234449028969,0.0064503345638513565,2.7449852358549833,0.3829043209552765
HTC_336_9129,CELL,128,1,0.006328234449028969,0.006563551723957062,2.608614956960082,0.7835955023765564
HTC_336_9129,CELL,256,1,0.006328234449028969,0.005979171022772789,2.702714502811432,1.5065394639968872
HTC_336_9129,CELL,512,1,0.006328234449028969,0.006487235426902771,2.7188182417303324,2.9277184009552
crystk01,BSR,32,0,0.006587903946638107,0,0,0.018862079828977585
crystk01,BSR,64,0,0.006587903946638107,0,0,0.02132992073893547
crystk01,BSR,128,0,0.006587903946638107,0,0,0.030525438487529755
crystk01,BSR,256,0,0.006587903946638107,0,0,0.05278719961643219
crystk01,BSR,512,0,0.006587903946638107,0,0,0.10207231342792511
hi2010,CELL,32,1,0.006349401548504829,0.006077168509364128,0.3578125983476639,0.02419712021946907
hi2010,CELL,64,1,0.006349401548504829,0.006079044193029404,0.3451853599399328,0.033689599484205246
hi2010,CELL,128,1,0.006349401548504829,0.005770966410636902,0.47440285235643387,0.06398975849151611
hi2010,CELL,256,1,0.006349401548504829,0.005982717499136925,0.34459475241601467,0.11424768716096878
hi2010,CELL,512,1,0.006349401548504829,0.005760436877608299,0.3466707095503807,0.2229350209236145
s4dkt3m2,BSR,32,0,0.006218552589416504,0,0,0.12216320633888245
s4dkt3m2,CSR,64,0,0.006218552589416504,0,0,0.2369023859500885
s4dkt3m2,CSR,128,0,0.006218552589416504,0,0,0.4732825458049774
s4dkt3m2,CSR,256,0,0.006218552589416504,0,0,0.9187532663345337
s4dkt3m2,CSR,512,0,0.006218552589416504,0,0,1.8231396675109863
sx-mathoverflow,CELL,32,1,0.006403312087059021,0.00537264347076416,0.6483205333352089,0.02328576147556305
sx-mathoverflow,CELL,64,1,0.006403312087059021,0.006397834047675133,0.6753125824034214,0.03904511779546738
sx-mathoverflow,CELL,128,1,0.006403312087059021,0.005732296034693718,0.835964273661375,0.06501375883817673
sx-mathoverflow,CELL,256,1,0.006403312087059021,0.006567005068063736,0.6708055809140205,0.12058624625205994
sx-mathoverflow,CELL,512,1,0.006403312087059021,0.0058119166642427444,0.6493723578751087,0.22857725620269775
