name,density,format,feat_size,num_parts,autotune_max_bucket,cost_model_max_bucket
Ecoli_10NN,0.04039115646258504,CELL,32,1,4,16.0
Ecoli_10NN,0.04039115646258504,CELL,64,1,2,16.0
Ecoli_10NN,0.04039115646258504,CELL,128,1,8,16.0
Ecoli_10NN,0.04039115646258504,CELL,256,1,16,16.0
Ecoli_10NN,0.04039115646258504,CELL,512,1,8,16.0
dwt_758,0.010432258199260656,CELL,32,1,4,8.0
dwt_758,0.010432258199260656,CELL,64,1,4,8.0
dwt_758,0.010432258199260656,CELL,128,1,4,8.0
dwt_758,0.010432258199260656,CELL,256,1,4,8.0
dwt_758,0.010432258199260656,CELL,512,1,8,8.0
HEP-th,0.00046149444433663027,CELL,32,1,32,16.0
HEP-th,0.00046149444433663027,CELL,64,1,8,16.0
HEP-th,0.00046149444433663027,CELL,128,1,8,16.0
HEP-th,0.00046149444433663027,CELL,256,1,8,16.0
HEP-th,0.00046149444433663027,CELL,512,1,8,16.0
fpga_dcop_09,0.003955925826390755,CELL,32,1,4,4.0
fpga_dcop_09,0.003955925826390755,CELL,64,1,4,4.0
fpga_dcop_09,0.003955925826390755,CELL,128,1,4,4.0
fpga_dcop_09,0.003955925826390755,CELL,256,1,4,4.0
fpga_dcop_09,0.003955925826390755,CELL,512,1,8,4.0
webbase-1M,3.1055049448729135e-06,CELL,32,1,8,32.0
webbase-1M,3.1055049448729135e-06,CELL,64,1,8,32.0
webbase-1M,3.1055049448729135e-06,CELL,128,1,16,32.0
webbase-1M,3.1055049448729135e-06,CELL,256,1,8,32.0
webbase-1M,3.1055049448729135e-06,CELL,512,1,16,32.0
can_1072,0.010828553129873023,CELL,32,1,4,16.0
can_1072,0.010828553129873023,CELL,64,1,8,16.0
can_1072,0.010828553129873023,CELL,128,1,8,16.0
can_1072,0.010828553129873023,CELL,256,1,8,16.0
can_1072,0.010828553129873023,CELL,512,1,8,16.0
language,7.635264782228233e-06,CELL,32,1,8,2.0
language,7.635264782228233e-06,CELL,64,1,8,2.0
language,7.635264782228233e-06,CELL,128,1,32,2.0
language,7.635264782228233e-06,CELL,256,1,32,2.0
language,7.635264782228233e-06,CELL,512,1,32,2.0
bcsstm27,0.037462888205391086,CELL,32,2,16,64.0
bcsstm27,0.037462888205391086,CELL,64,4,16,64.0
bcsstm27,0.037462888205391086,CELL,128,4,16,64.0
bcsstm27,0.037462888205391086,CELL,256,2,16,64.0
bcsstm27,0.037462888205391086,CELL,512,2,16,64.0
patents,1.0506632014464458e-06,CELL,32,1,64,8.0
patents,1.0506632014464458e-06,CELL,64,1,16,8.0
patents,1.0506632014464458e-06,CELL,128,1,16,8.0
patents,1.0506632014464458e-06,CELL,256,1,16,8.0
patents,1.0506632014464458e-06,CELL,512,1,16,8.0
opt1,0.008089169351991735,CELL,32,4,16,128.0
opt1,0.008089169351991735,CELL,64,2,32,128.0
opt1,0.008089169351991735,CELL,128,2,32,128.0
opt1,0.008089169351991735,CELL,256,2,32,128.0
opt1,0.008089169351991735,CELL,512,2,32,128.0
SiH4,0.006764723671763391,CELL,32,1,8,32.0
SiH4,0.006764723671763391,CELL,64,1,8,32.0
SiH4,0.006764723671763391,CELL,128,1,8,32.0
SiH4,0.006764723671763391,CELL,256,1,8,32.0
SiH4,0.006764723671763391,CELL,512,1,8,32.0
cit-HepTh,0.0004574940327908307,CELL,32,1,16,16.0
cit-HepTh,0.0004574940327908307,CELL,64,1,8,16.0
cit-HepTh,0.0004574940327908307,CELL,128,1,8,16.0
cit-HepTh,0.0004574940327908307,CELL,256,1,8,16.0
cit-HepTh,0.0004574940327908307,CELL,512,1,8,16.0
usroads-48,2.0354665989471852e-05,CELL,32,1,8,2.0
usroads-48,2.0354665989471852e-05,CELL,64,1,8,2.0
usroads-48,2.0354665989471852e-05,CELL,128,1,2,2.0
usroads-48,2.0354665989471852e-05,CELL,256,1,2,2.0
usroads-48,2.0354665989471852e-05,CELL,512,1,2,2.0
cz148,0.06971329437545654,CELL,32,1,2,8.0
cz148,0.06971329437545654,CELL,64,1,2,8.0
cz148,0.06971329437545654,CELL,128,1,8,8.0
cz148,0.06971329437545654,CELL,256,1,8,8.0
cz148,0.06971329437545654,CELL,512,1,8,8.0
kineticBatchReactor_5,0.001383354707873773,CELL,32,1,16,16.0
kineticBatchReactor_5,0.001383354707873773,CELL,64,1,8,16.0
kineticBatchReactor_5,0.001383354707873773,CELL,128,1,16,16.0
kineticBatchReactor_5,0.001383354707873773,CELL,256,1,16,16.0
kineticBatchReactor_5,0.001383354707873773,CELL,512,1,16,16.0
oscil_dcop_13,0.008350459707950243,CELL,32,1,1,4.0
oscil_dcop_13,0.008350459707950243,CELL,64,1,1,4.0
oscil_dcop_13,0.008350459707950243,CELL,128,1,2,4.0
oscil_dcop_13,0.008350459707950243,CELL,256,1,2,4.0
oscil_dcop_13,0.008350459707950243,CELL,512,1,4,4.0
fpga_dcop_39,0.003958613276001075,CELL,32,1,4,4.0
fpga_dcop_39,0.003958613276001075,CELL,64,1,2,4.0
fpga_dcop_39,0.003958613276001075,CELL,128,1,4,4.0
fpga_dcop_39,0.003958613276001075,CELL,256,1,4,4.0
fpga_dcop_39,0.003958613276001075,CELL,512,1,8,4.0
oscil_dcop_20,0.008350459707950243,CELL,32,1,1,4.0
oscil_dcop_20,0.008350459707950243,CELL,64,1,1,4.0
oscil_dcop_20,0.008350459707950243,CELL,128,1,1,4.0
oscil_dcop_20,0.008350459707950243,CELL,256,1,2,4.0
oscil_dcop_20,0.008350459707950243,CELL,512,1,4,4.0
cage4,0.6049382716049383,CELL,32,1,2,8.0
cage4,0.6049382716049383,CELL,64,1,2,8.0
cage4,0.6049382716049383,CELL,128,1,1,8.0
cage4,0.6049382716049383,CELL,256,1,2,8.0
cage4,0.6049382716049383,CELL,512,1,2,8.0
shermanACa,0.002141166913894187,CELL,32,1,8,8.0
shermanACa,0.002141166913894187,CELL,64,1,8,8.0
shermanACa,0.002141166913894187,CELL,128,1,8,8.0
shermanACa,0.002141166913894187,CELL,256,1,8,8.0
shermanACa,0.002141166913894187,CELL,512,1,8,8.0
freeFlyingRobot_6,0.0023970917769553547,CELL,32,1,8,8.0
freeFlyingRobot_6,0.0023970917769553547,CELL,64,1,8,8.0
freeFlyingRobot_6,0.0023970917769553547,CELL,128,1,8,8.0
freeFlyingRobot_6,0.0023970917769553547,CELL,256,1,8,8.0
freeFlyingRobot_6,0.0023970917769553547,CELL,512,1,8,8.0
freeFlyingRobot_14,0.0012197387981958525,CELL,32,1,8,8.0
freeFlyingRobot_14,0.0012197387981958525,CELL,64,1,8,8.0
freeFlyingRobot_14,0.0012197387981958525,CELL,128,1,8,8.0
freeFlyingRobot_14,0.0012197387981958525,CELL,256,1,8,8.0
freeFlyingRobot_14,0.0012197387981958525,CELL,512,1,8,8.0
spaceShuttleEntry_2,0.011805212280990829,CELL,32,1,16,16.0
spaceShuttleEntry_2,0.011805212280990829,CELL,64,1,8,16.0
spaceShuttleEntry_2,0.011805212280990829,CELL,128,1,16,16.0
spaceShuttleEntry_2,0.011805212280990829,CELL,256,1,16,16.0
spaceShuttleEntry_2,0.011805212280990829,CELL,512,1,16,16.0
oscil_dcop_48,0.008350459707950243,CELL,32,1,1,4.0
oscil_dcop_48,0.008350459707950243,CELL,64,1,1,4.0
oscil_dcop_48,0.008350459707950243,CELL,128,1,1,4.0
oscil_dcop_48,0.008350459707950243,CELL,256,1,2,4.0
oscil_dcop_48,0.008350459707950243,CELL,512,1,4,4.0
TSC_OPF_300,0.008592010415542688,CELL,32,2,16,48.0
TSC_OPF_300,0.008592010415542688,CELL,64,2,32,48.0
TSC_OPF_300,0.008592010415542688,CELL,128,2,32,48.0
TSC_OPF_300,0.008592010415542688,CELL,256,2,32,48.0
TSC_OPF_300,0.008592010415542688,CELL,512,4,32,48.0
lshp1882,0.0036432176410335173,CELL,32,1,4,8.0
lshp1882,0.0036432176410335173,CELL,64,1,8,8.0
lshp1882,0.0036432176410335173,CELL,128,1,8,8.0
lshp1882,0.0036432176410335173,CELL,256,1,8,8.0
lshp1882,0.0036432176410335173,CELL,512,1,8,8.0
freeFlyingRobot_8,0.0018073244670104088,CELL,32,1,8,8.0
freeFlyingRobot_8,0.0018073244670104088,CELL,64,1,8,8.0
freeFlyingRobot_8,0.0018073244670104088,CELL,128,1,8,8.0
freeFlyingRobot_8,0.0018073244670104088,CELL,256,1,8,8.0
freeFlyingRobot_8,0.0018073244670104088,CELL,512,1,8,8.0
G36,0.005883,CELL,32,1,8,8.0
G36,0.005883,CELL,64,1,8,8.0
G36,0.005883,CELL,128,1,8,8.0
G36,0.005883,CELL,256,1,8,8.0
G36,0.005883,CELL,512,1,8,8.0
memplus,0.000400036069522546,CELL,32,1,16,4.0
memplus,0.000400036069522546,CELL,64,1,8,4.0
memplus,0.000400036069522546,CELL,128,1,8,4.0
memplus,0.000400036069522546,CELL,256,1,8,4.0
memplus,0.000400036069522546,CELL,512,1,8,4.0
qh768,0.004974365234375,CELL,32,1,2,4.0
qh768,0.004974365234375,CELL,64,1,2,4.0
qh768,0.004974365234375,CELL,128,1,2,4.0
qh768,0.004974365234375,CELL,256,1,4,4.0
qh768,0.004974365234375,CELL,512,1,4,4.0
net25,0.004426770708283313,CELL,32,2,16,48.0
net25,0.004426770708283313,CELL,64,1,32,128.0
net25,0.004426770708283313,CELL,128,1,32,128.0
net25,0.004426770708283313,CELL,256,1,32,128.0
net25,0.004426770708283313,CELL,512,1,32,128.0
reorientation_3,0.005093450389055305,CELL,32,1,8,16.0
reorientation_3,0.005093450389055305,CELL,64,1,8,16.0
reorientation_3,0.005093450389055305,CELL,128,1,16,16.0
reorientation_3,0.005093450389055305,CELL,256,1,16,16.0
reorientation_3,0.005093450389055305,CELL,512,1,16,16.0
adder_dcop_56,0.003421389127795242,CELL,32,1,8,8.0
adder_dcop_56,0.003421389127795242,CELL,64,1,8,8.0
adder_dcop_56,0.003421389127795242,CELL,128,1,8,8.0
adder_dcop_56,0.003421389127795242,CELL,256,1,8,8.0
adder_dcop_56,0.003421389127795242,CELL,512,1,8,8.0
dwt_878,0.009661635213598934,CELL,32,1,4,16.0
dwt_878,0.009661635213598934,CELL,64,1,4,16.0
dwt_878,0.009661635213598934,CELL,128,1,8,16.0
dwt_878,0.009661635213598934,CELL,256,1,8,16.0
dwt_878,0.009661635213598934,CELL,512,1,8,16.0
Sandi_authors,0.0335316387236344,CELL,32,1,1,4.0
Sandi_authors,0.0335316387236344,CELL,64,1,1,4.0
Sandi_authors,0.0335316387236344,CELL,128,1,1,4.0
Sandi_authors,0.0335316387236344,CELL,256,1,1,4.0
Sandi_authors,0.0335316387236344,CELL,512,4,1,2.5
CurlCurl_2,1.3715510359355002e-05,CELL,32,1,32,16.0
CurlCurl_2,1.3715510359355002e-05,CELL,64,1,16,16.0
CurlCurl_2,1.3715510359355002e-05,CELL,128,1,16,16.0
CurlCurl_2,1.3715510359355002e-05,CELL,256,1,16,16.0
CurlCurl_2,1.3715510359355002e-05,CELL,512,1,16,16.0
lock3491,0.013165088506427421,CELL,32,2,16,64.0
lock3491,0.013165088506427421,CELL,64,2,16,64.0
lock3491,0.013165088506427421,CELL,128,2,16,64.0
lock3491,0.013165088506427421,CELL,256,2,16,64.0
lock3491,0.013165088506427421,CELL,512,2,16,64.0
init_adder1,0.0033940082793601036,CELL,32,1,8,8.0
init_adder1,0.0033940082793601036,CELL,64,1,8,8.0
init_adder1,0.0033940082793601036,CELL,128,1,8,8.0
init_adder1,0.0033940082793601036,CELL,256,1,8,8.0
init_adder1,0.0033940082793601036,CELL,512,1,8,8.0
ex22,0.03226924612278935,CELL,32,4,8,28.0
ex22,0.03226924612278935,CELL,64,4,8,28.0
ex22,0.03226924612278935,CELL,128,2,16,32.0
ex22,0.03226924612278935,CELL,256,2,16,32.0
ex22,0.03226924612278935,CELL,512,2,8,32.0
GD02_b,0.03625,CELL,32,1,1,4.0
GD02_b,0.03625,CELL,64,1,1,4.0
GD02_b,0.03625,CELL,128,1,1,4.0
GD02_b,0.03625,CELL,256,1,1,4.0
GD02_b,0.03625,CELL,512,1,2,4.0
adder_dcop_06,0.003414696031511097,CELL,32,1,8,8.0
adder_dcop_06,0.003414696031511097,CELL,64,1,8,8.0
adder_dcop_06,0.003414696031511097,CELL,128,1,8,8.0
adder_dcop_06,0.003414696031511097,CELL,256,1,8,8.0
adder_dcop_06,0.003414696031511097,CELL,512,1,8,8.0
raefsky6,0.011910291729352413,CELL,32,8,16,32.0
raefsky6,0.011910291729352413,CELL,64,2,16,64.0
raefsky6,0.011910291729352413,CELL,128,2,16,64.0
raefsky6,0.011910291729352413,CELL,256,2,16,64.0
raefsky6,0.011910291729352413,CELL,512,2,16,64.0
std1_Jac2,0.0025842497696707723,CELL,32,1,32,128.0
std1_Jac2,0.0025842497696707723,CELL,64,2,16,128.0
std1_Jac2,0.0025842497696707723,CELL,128,2,16,128.0
std1_Jac2,0.0025842497696707723,CELL,256,2,16,128.0
std1_Jac2,0.0025842497696707723,CELL,512,2,16,128.0
bcspwr01,0.0861275476660092,CELL,32,1,2,4.0
bcspwr01,0.0861275476660092,CELL,64,1,2,4.0
bcspwr01,0.0861275476660092,CELL,128,1,1,4.0
bcspwr01,0.0861275476660092,CELL,256,1,1,4.0
bcspwr01,0.0861275476660092,CELL,512,1,2,4.0
GD96_b,0.01566431296161026,CELL,32,2,2,2.0
GD96_b,0.01566431296161026,CELL,64,1,2,2.0
GD96_b,0.01566431296161026,CELL,128,2,1,2.0
GD96_b,0.01566431296161026,CELL,256,2,2,2.0
GD96_b,0.01566431296161026,CELL,512,2,2,2.0
spaceStation_4,0.015098060941828254,CELL,32,1,8,16.0
spaceStation_4,0.015098060941828254,CELL,64,1,4,16.0
spaceStation_4,0.015098060941828254,CELL,128,1,4,16.0
spaceStation_4,0.015098060941828254,CELL,256,1,8,16.0
spaceStation_4,0.015098060941828254,CELL,512,1,8,16.0
mesh1e1,0.1328125,CELL,32,1,4,8.0
mesh1e1,0.1328125,CELL,64,1,2,8.0
mesh1e1,0.1328125,CELL,128,1,1,8.0
mesh1e1,0.1328125,CELL,256,1,1,8.0
mesh1e1,0.1328125,CELL,512,1,2,8.0
com-Youtube,4.639256625391026e-06,CELL,32,1,16,16.0
com-Youtube,4.639256625391026e-06,CELL,64,1,16,16.0
com-Youtube,4.639256625391026e-06,CELL,128,1,8,16.0
com-Youtube,4.639256625391026e-06,CELL,256,1,8,16.0
com-Youtube,4.639256625391026e-06,CELL,512,1,8,16.0
gre_115,0.031833648393194705,CELL,32,1,2,4.0
gre_115,0.031833648393194705,CELL,64,1,2,4.0
gre_115,0.031833648393194705,CELL,128,1,1,4.0
gre_115,0.031833648393194705,CELL,256,1,1,4.0
gre_115,0.031833648393194705,CELL,512,1,2,4.0
west1505,0.00240394697630269,CELL,32,1,2,4.0
west1505,0.00240394697630269,CELL,64,1,2,4.0
west1505,0.00240394697630269,CELL,128,1,4,4.0
west1505,0.00240394697630269,CELL,256,1,4,4.0
west1505,0.00240394697630269,CELL,512,1,4,4.0
lshp_577,0.01168116925831033,CELL,32,1,4,8.0
lshp_577,0.01168116925831033,CELL,64,1,4,8.0
lshp_577,0.01168116925831033,CELL,128,2,4,8.0
lshp_577,0.01168116925831033,CELL,256,2,8,8.0
lshp_577,0.01168116925831033,CELL,512,2,8,8.0
spaceStation_12,0.009923042100497962,CELL,32,1,8,16.0
spaceStation_12,0.009923042100497962,CELL,64,1,4,16.0
spaceStation_12,0.009923042100497962,CELL,128,1,8,16.0
spaceStation_12,0.009923042100497962,CELL,256,1,8,16.0
spaceStation_12,0.009923042100497962,CELL,512,1,8,16.0
vsp_bump2_e18_aa01_model1_crew1,0.00018887133104358834,CELL,32,1,8,16.0
vsp_bump2_e18_aa01_model1_crew1,0.00018887133104358834,CELL,64,1,8,16.0
vsp_bump2_e18_aa01_model1_crew1,0.00018887133104358834,CELL,128,1,8,16.0
vsp_bump2_e18_aa01_model1_crew1,0.00018887133104358834,CELL,256,1,8,16.0
vsp_bump2_e18_aa01_model1_crew1,0.00018887133104358834,CELL,512,1,8,16.0
fs_183_4,0.03192092926035415,CELL,32,1,2,4.0
fs_183_4,0.03192092926035415,CELL,64,1,2,4.0
fs_183_4,0.03192092926035415,CELL,128,1,2,4.0
fs_183_4,0.03192092926035415,CELL,256,1,2,4.0
fs_183_4,0.03192092926035415,CELL,512,1,2,4.0
ex4,0.012601040651903615,CELL,32,2,8,16.0
ex4,0.012601040651903615,CELL,64,2,8,16.0
ex4,0.012601040651903615,CELL,128,1,8,16.0
ex4,0.012601040651903615,CELL,256,1,8,16.0
ex4,0.012601040651903615,CELL,512,1,8,16.0
adder_dcop_49,0.003421389127795242,CELL,32,1,8,8.0
adder_dcop_49,0.003421389127795242,CELL,64,1,8,8.0
adder_dcop_49,0.003421389127795242,CELL,128,1,8,8.0
adder_dcop_49,0.003421389127795242,CELL,256,1,8,8.0
adder_dcop_49,0.003421389127795242,CELL,512,1,8,8.0
will57,0.08648815020006156,CELL,32,1,2,4.0
will57,0.08648815020006156,CELL,64,1,2,4.0
will57,0.08648815020006156,CELL,128,1,1,4.0
will57,0.08648815020006156,CELL,256,1,1,4.0
will57,0.08648815020006156,CELL,512,1,2,4.0
GD01_c,0.12396694214876033,CELL,32,2,2,4.0
GD01_c,0.12396694214876033,CELL,64,2,2,4.0
GD01_c,0.12396694214876033,CELL,128,1,1,4.0
GD01_c,0.12396694214876033,CELL,256,1,1,4.0
GD01_c,0.12396694214876033,CELL,512,1,1,4.0
lowThrust_8,0.0006907213577356025,CELL,32,1,32,16.0
lowThrust_8,0.0006907213577356025,CELL,64,1,16,16.0
lowThrust_8,0.0006907213577356025,CELL,128,1,16,16.0
lowThrust_8,0.0006907213577356025,CELL,256,1,16,16.0
lowThrust_8,0.0006907213577356025,CELL,512,1,16,16.0
rdb1250l,0.004672,CELL,32,1,2,8.0
rdb1250l,0.004672,CELL,64,1,8,8.0
rdb1250l,0.004672,CELL,128,1,8,8.0
