name,format,feat_size,num_parts,time_select(s),time_num_parts(s),time_bucket(s),time_exe_our(ms)
celegans_metabolic,CELL,32,1,0.005190204828977585,0.004854876548051834,0.010792119428515434,0.006973439361900091
celegans_metabolic,CELL,64,1,0.005190204828977585,0.006041785702109337,0.011124175041913986,0.007454720325767994
celegans_metabolic,CELL,128,1,0.005190204828977585,0.006313517689704895,0.011054400354623795,0.007710719481110573
celegans_metabolic,CELL,256,1,0.005190204828977585,0.006416803225874901,0.011047884821891785,0.00918528065085411
celegans_metabolic,CELL,512,1,0.005190204828977585,0.005919117480516434,0.012509064748883247,0.011868161149322987
spmsrtls,BSR,32,0,0.00608990341424942,0,0,0.021770238876342773
spmsrtls,CSR,64,0,0.00608990341424942,0,0,0.031682562083005905
spmsrtls,CSR,128,0,0.00608990341424942,0,0,0.05841919779777527
spmsrtls,CSR,256,0,0.00608990341424942,0,0,0.10834943503141403
spmsrtls,CSR,512,0,0.00608990341424942,0,0,0.19998720288276672
Lin,CELL,32,1,0.008024903014302254,0.0063543301075696945,5.229152662679553,0.18528255820274353
Lin,CELL,64,1,0.008024903014302254,0.007481250911951065,5.110913636162877,0.34538498520851135
Lin,CELL,128,1,0.008024903014302254,0.007413683459162712,5.1334186010062695,0.7727820873260498
Lin,CELL,256,1,0.008024903014302254,0.007293885573744774,4.936224792152643,1.4176254272460938
Lin,CELL,512,1,0.008024903014302254,0.007056426256895065,5.062477644532919,2.836449384689331
ford2,CSR,32,0,0.006982976570725441,0,0,0.07254016399383545
ford2,CSR,64,0,0.006982976570725441,0,0,0.10319870710372925
ford2,CSR,128,0,0.006982976570725441,0,0,0.20508672297000885
ford2,CSR,256,0,0.006982976570725441,0,0,0.38765570521354675
ford2,CSR,512,0,0.006982976570725441,0,0,0.743147611618042
mesh3em5,CELL,32,1,0.006527513265609741,0.0057854242622852325,0.00505276583135128,0.0056524802930653095
mesh3em5,CELL,64,1,0.006527513265609741,0.006025275215506554,0.005149848759174347,0.005990400444716215
mesh3em5,CELL,128,1,0.006527513265609741,0.006215130910277367,0.00512639619410038,0.006502400152385235
mesh3em5,CELL,256,1,0.006527513265609741,0.006113281473517418,0.0051261186599731445,0.006676479708403349
mesh3em5,CELL,512,1,0.006527513265609741,0.006699966266751289,0.005583073943853378,0.007464960683137178
bayer05,CELL,32,1,0.00624559260904789,0.00561903789639473,0.07373833656311035,0.021770240738987923
bayer05,CELL,64,1,0.00624559260904789,0.00621686689555645,0.07798327878117561,0.03667968139052391
bayer05,CELL,128,1,0.00624559260904789,0.005941169336438179,0.07156236842274666,0.03745792806148529
bayer05,CELL,256,1,0.00624559260904789,0.006340416148304939,0.07294123619794846,0.045404158532619476
bayer05,CELL,512,1,0.00624559260904789,0.0059686023741960526,0.07280794531106949,0.059801600873470306
fs_183_6,CELL,32,1,0.006922543048858643,0.005930723622441292,0.003287592902779579,0.006092799827456474
fs_183_6,CELL,64,1,0.006922543048858643,0.0061602164059877396,0.0030237212777137756,0.006584320217370987
fs_183_6,CELL,128,1,0.006922543048858643,0.006123663857579231,0.0030463077127933502,0.006707200314849615
fs_183_6,CELL,256,1,0.006922543048858643,0.005990808829665184,0.003024263307452202,0.0071270400658249855
fs_183_6,CELL,512,1,0.006922543048858643,0.006015771999955177,0.003004036843776703,0.00800768006592989
utm300,CELL,32,1,0.006010435521602631,0.0054992083460092545,0.008526019752025604,0.006348799914121628
utm300,CELL,64,1,0.006010435521602631,0.006242338567972183,0.008399991318583488,0.007895040325820446
utm300,CELL,128,2,0.006010435521602631,0.006030377000570297,0.008762756362557411,0.00755712017416954
utm300,CELL,256,2,0.006010435521602631,0.0059624724090099335,0.008523449301719666,0.007843839935958385
utm300,CELL,512,2,0.006010435521602631,0.005832323804497719,0.008671114221215248,0.009031680412590504
nlpkkt80,CSR,32,0,0.007405787706375122,0,0,1.4271386861801147
nlpkkt80,CSR,64,0,0.007405787706375122,0,0,2.6354281902313232
nlpkkt80,CSR,128,0,0.007405787706375122,0,0,5.158748626708984
nlpkkt80,CSR,256,0,0.007405787706375122,0,0,9.855672836303711
nlpkkt80,CSR,512,0,0.007405787706375122,0,0,19.56085777282715
cage6,CELL,32,1,0.007445588707923889,0.006306024268269539,0.0023678112775087357,0.005560319870710373
cage6,CELL,64,2,0.007445588707923889,0.006182793527841568,0.0024396292865276337,0.006502400152385235
cage6,CELL,128,2,0.007445588707923889,0.006019102409482002,0.002309964969754219,0.006318080238997936
cage6,CELL,256,1,0.007445588707923889,0.005902094766497612,0.002141715958714485,0.005877760238945484
cage6,CELL,512,4,0.007445588707923889,0.006117077544331551,0.00250999815762043,0.007464960217475891
hvdc2,CSR,32,0,0.006694667041301727,0,0,0.13190142810344696
hvdc2,CSR,64,0,0.006694667041301727,0,0,0.1754828691482544
hvdc2,CSR,128,0,0.006694667041301727,0,0,0.36894720792770386
hvdc2,CSR,256,0,0.006694667041301727,0,0,0.6854144334793091
hvdc2,CSR,512,0,0.006694667041301727,0,0,1.3154406547546387
adder_dcop_18,CELL,32,1,0.007938675582408905,0.006544141098856926,0.03753690607845783,0.007485440466552973
adder_dcop_18,CELL,64,1,0.007938675582408905,0.005682816728949547,0.02917405404150486,0.008949760347604752
adder_dcop_18,CELL,128,1,0.007938675582408905,0.005972865968942642,0.03489186801016331,0.010721279308199883
adder_dcop_18,CELL,256,1,0.007938675582408905,0.00600501149892807,0.03370827063918114,0.014479360543191433
adder_dcop_18,CELL,512,1,0.007938675582408905,0.005896382033824921,0.031241219490766525,0.021647362038493156
dw4096,CSR,32,0,0.0063273124396800995,0,0,0.010905599221587181
dw4096,CSR,64,0,0.0063273124396800995,0,0,0.013178880326449871
dw4096,CSR,128,0,0.0063273124396800995,0,0,0.019640320912003517
dw4096,CSR,256,0,0.0063273124396800995,0,0,0.03236864134669304
dw4096,CSR,512,0,0.0063273124396800995,0,0,0.056637443602085114
barth4,CELL,32,1,0.0063856057822704315,0.0054626669734716415,0.0652634296566248,0.009144320152699947
barth4,CELL,64,1,0.0063856057822704315,0.00594853051006794,0.06551693938672543,0.0115507198497653
barth4,CELL,128,1,0.0063856057822704315,0.005920175462961197,0.06567085906863213,0.01692672073841095
barth4,CELL,256,1,0.0063856057822704315,0.005895189940929413,0.06416398659348488,0.02767871879041195
barth4,CELL,512,1,0.0063856057822704315,0.005916930735111237,0.0653738584369421,0.050135038793087006
oscil_dcop_02,CELL,32,1,0.005909852683544159,0.005375092849135399,0.004473898559808731,0.006225919816643
oscil_dcop_02,CELL,64,1,0.005909852683544159,0.006581749767065048,0.004482455551624298,0.006543360184878111
oscil_dcop_02,CELL,128,1,0.005909852683544159,0.005969146266579628,0.004667757079005241,0.0067276800982654095
oscil_dcop_02,CELL,256,1,0.005909852683544159,0.005969591438770294,0.004511736333370209,0.007372800260782242
oscil_dcop_02,CELL,512,1,0.005909852683544159,0.005864294245839119,0.0044816043227910995,0.009000959806144238
ncvxqp7,CSR,32,0,0.006965046748518944,0,0,0.0989491194486618
ncvxqp7,CSR,64,0,0.006965046748518944,0,0,0.20574207603931427
ncvxqp7,CSR,128,0,0.006965046748518944,0,0,0.41066497564315796
ncvxqp7,CSR,256,0,0.006965046748518944,0,0,0.8034201264381409
ncvxqp7,CSR,512,0,0.006965046748518944,0,0,1.5813223123550415
barrier2-1,CELL,32,1,0.007003346458077431,0.0059568025171756744,10.325607376173139,0.32148483395576477
barrier2-1,CELL,64,1,0.007003346458077431,0.007309658452868462,10.480558337643743,0.44904449582099915
barrier2-1,CELL,128,1,0.007003346458077431,0.007235638797283173,10.510521175339818,0.9330687522888184
barrier2-1,CELL,256,1,0.007003346458077431,0.007256632670760155,10.254517167806625,1.7248153686523438
barrier2-1,CELL,512,1,0.007003346458077431,0.006922431290149689,10.21205822378397,3.5705034732818604
fe_ocean,CELL,32,1,0.006825443357229233,0.005869993939995766,2.377694023773074,0.10323967784643173
fe_ocean,CELL,64,1,0.006825443357229233,0.006108952686190605,2.3801661916077137,0.2239183932542801
fe_ocean,CELL,128,1,0.006825443357229233,0.006881542503833771,2.5194035414606333,0.4325788915157318
fe_ocean,CELL,256,1,0.006825443357229233,0.006716081872582436,2.666167639195919,0.8519986867904663
fe_ocean,CELL,512,1,0.006825443357229233,0.006765691563487053,2.558272833004594,1.6946073770523071
cbuckle,CELL,32,2,0.006804939359426498,0.005835393443703651,1.6915609668940306,0.05906432121992111
