name,density,format,feat_size,num_parts,autotune_max_bucket,cost_model_max_bucket
g7jac160sc,0.00029188058756450964,CELL,32,1,16,64.0
g7jac160sc,0.00029188058756450964,CELL,64,1,16,64.0
g7jac160sc,0.00029188058756450964,CELL,128,1,16,64.0
g7jac160sc,0.00029188058756450964,CELL,256,1,16,64.0
g7jac160sc,0.00029188058756450964,CELL,512,1,16,64.0
bips07_1998,0.00027401888436752003,CELL,32,1,8,8.0
bips07_1998,0.00027401888436752003,CELL,64,1,8,8.0
bips07_1998,0.00027401888436752003,CELL,128,1,8,8.0
bips07_1998,0.00027401888436752003,CELL,256,1,8,8.0
bips07_1998,0.00027401888436752003,CELL,512,1,8,8.0
shermanACd,0.0014164222431492005,CELL,32,1,16,8.0
shermanACd,0.0014164222431492005,CELL,64,1,8,8.0
shermanACd,0.0014164222431492005,CELL,128,1,16,8.0
shermanACd,0.0014164222431492005,CELL,256,2,16,6.0
shermanACd,0.0014164222431492005,CELL,512,2,16,6.0
RFdevice,6.65731530265508e-05,CELL,32,1,16,8.0
RFdevice,6.65731530265508e-05,CELL,64,1,8,8.0
RFdevice,6.65731530265508e-05,CELL,128,1,8,8.0
RFdevice,6.65731530265508e-05,CELL,256,1,8,8.0
RFdevice,6.65731530265508e-05,CELL,512,1,8,8.0
GD01_b,0.11419753086419752,CELL,32,1,2,2.0
GD01_b,0.11419753086419752,CELL,64,1,2,2.0
GD01_b,0.11419753086419752,CELL,128,1,1,2.0
GD01_b,0.11419753086419752,CELL,256,1,1,2.0
GD01_b,0.11419753086419752,CELL,512,1,1,2.0
HTC_336_9129,1.7244300697541726e-05,CELL,32,1,64,4.0
HTC_336_9129,1.7244300697541726e-05,CELL,64,1,16,4.0
HTC_336_9129,1.7244300697541726e-05,CELL,128,1,8,4.0
HTC_336_9129,1.7244300697541726e-05,CELL,256,1,16,4.0
HTC_336_9129,1.7244300697541726e-05,CELL,512,1,16,4.0
hi2010,0.00019834763378556367,CELL,32,1,16,4.0
hi2010,0.00019834763378556367,CELL,64,1,4,4.0
hi2010,0.00019834763378556367,CELL,128,1,4,4.0
hi2010,0.00019834763378556367,CELL,256,1,4,4.0
hi2010,0.00019834763378556367,CELL,512,1,4,4.0
sx-mathoverflow,0.00038961697406616504,CELL,32,1,32,32.0
sx-mathoverflow,0.00038961697406616504,CELL,64,1,16,32.0
sx-mathoverflow,0.00038961697406616504,CELL,128,1,16,32.0
sx-mathoverflow,0.00038961697406616504,CELL,256,1,16,32.0
sx-mathoverflow,0.00038961697406616504,CELL,512,1,16,32.0
barrier2-3,0.00029759220279053226,CELL,32,1,8,32.0
barrier2-3,0.00029759220279053226,CELL,64,1,16,32.0
barrier2-3,0.00029759220279053226,CELL,128,1,8,32.0
barrier2-3,0.00029759220279053226,CELL,256,1,8,32.0
barrier2-3,0.00029759220279053226,CELL,512,1,8,32.0
oscil_dcop_26,0.008350459707950243,CELL,32,1,1,4.0
oscil_dcop_26,0.008350459707950243,CELL,64,1,1,4.0
oscil_dcop_26,0.008350459707950243,CELL,128,1,1,4.0
oscil_dcop_26,0.008350459707950243,CELL,256,1,2,4.0
oscil_dcop_26,0.008350459707950243,CELL,512,1,4,4.0
filter2D,0.0038638154224821582,CELL,32,1,4,8.0
filter2D,0.0038638154224821582,CELL,64,1,4,8.0
filter2D,0.0038638154224821582,CELL,128,1,4,8.0
filter2D,0.0038638154224821582,CELL,256,1,8,8.0
filter2D,0.0038638154224821582,CELL,512,1,8,8.0
Tina_DisCog,0.39669421487603307,CELL,32,1,1,4.0
Tina_DisCog,0.39669421487603307,CELL,64,1,1,4.0
Tina_DisCog,0.39669421487603307,CELL,128,1,1,4.0
Tina_DisCog,0.39669421487603307,CELL,256,1,1,4.0
Tina_DisCog,0.39669421487603307,CELL,512,1,1,4.0
enron,5.7593005557589994e-05,CELL,32,1,16,32.0
enron,5.7593005557589994e-05,CELL,64,1,16,32.0
enron,5.7593005557589994e-05,CELL,128,1,8,32.0
enron,5.7593005557589994e-05,CELL,256,1,8,32.0
enron,5.7593005557589994e-05,CELL,512,1,8,32.0
G2_circuit,3.225274357728848e-05,CELL,32,1,16,8.0
G2_circuit,3.225274357728848e-05,CELL,64,1,8,8.0
G2_circuit,3.225274357728848e-05,CELL,128,1,8,8.0
G2_circuit,3.225274357728848e-05,CELL,256,1,8,8.0
G2_circuit,3.225274357728848e-05,CELL,512,1,8,8.0
oscil_dcop_53,0.008350459707950243,CELL,32,1,1,4.0
oscil_dcop_53,0.008350459707950243,CELL,64,1,1,4.0
oscil_dcop_53,0.008350459707950243,CELL,128,1,1,4.0
oscil_dcop_53,0.008350459707950243,CELL,256,1,2,4.0
oscil_dcop_53,0.008350459707950243,CELL,512,1,4,4.0
spaceStation_11,0.010187605885742296,CELL,32,1,4,16.0
spaceStation_11,0.010187605885742296,CELL,64,1,4,16.0
spaceStation_11,0.010187605885742296,CELL,128,1,4,16.0
spaceStation_11,0.010187605885742296,CELL,256,1,8,16.0
spaceStation_11,0.010187605885742296,CELL,512,1,8,16.0
lowThrust_1,0.01798238412460124,CELL,32,1,4,16.0
lowThrust_1,0.01798238412460124,CELL,64,1,4,16.0
lowThrust_1,0.01798238412460124,CELL,128,1,4,16.0
lowThrust_1,0.01798238412460124,CELL,256,1,8,16.0
lowThrust_1,0.01798238412460124,CELL,512,1,8,16.0
rail_1357,0.004879309717510504,CELL,32,1,4,8.0
rail_1357,0.004879309717510504,CELL,64,1,4,8.0
rail_1357,0.004879309717510504,CELL,128,1,4,8.0
rail_1357,0.004879309717510504,CELL,256,1,8,8.0
rail_1357,0.004879309717510504,CELL,512,1,8,8.0
dwt_592,0.01456355003652301,CELL,32,1,2,16.0
dwt_592,0.01456355003652301,CELL,64,1,4,16.0
dwt_592,0.01456355003652301,CELL,128,1,4,16.0
dwt_592,0.01456355003652301,CELL,256,1,8,16.0
dwt_592,0.01456355003652301,CELL,512,1,4,16.0
iris_dataset_30NN,0.24524444444444443,CELL,32,1,2,32.0
iris_dataset_30NN,0.24524444444444443,CELL,64,1,8,32.0
iris_dataset_30NN,0.24524444444444443,CELL,128,1,8,32.0
iris_dataset_30NN,0.24524444444444443,CELL,256,1,16,32.0
iris_dataset_30NN,0.24524444444444443,CELL,512,1,16,32.0
oscil_dcop_14,0.008350459707950243,CELL,32,1,1,4.0
oscil_dcop_14,0.008350459707950243,CELL,64,1,1,4.0
oscil_dcop_14,0.008350459707950243,CELL,128,1,1,4.0
oscil_dcop_14,0.008350459707950243,CELL,256,1,2,4.0
oscil_dcop_14,0.008350459707950243,CELL,512,1,4,4.0
cavity11,0.011323008435579752,CELL,32,1,16,32.0
cavity11,0.011323008435579752,CELL,64,1,8,32.0
cavity11,0.011323008435579752,CELL,128,1,16,32.0
cavity11,0.011323008435579752,CELL,256,1,8,32.0
cavity11,0.011323008435579752,CELL,512,1,16,32.0
b_dyn,0.003595517745279829,CELL,32,1,2,4.0
b_dyn,0.003595517745279829,CELL,64,1,2,4.0
b_dyn,0.003595517745279829,CELL,128,1,2,4.0
b_dyn,0.003595517745279829,CELL,256,1,2,4.0
b_dyn,0.003595517745279829,CELL,512,1,2,4.0
tandem_dual,5.2039124119923765e-05,CELL,32,1,16,8.0
tandem_dual,5.2039124119923765e-05,CELL,64,1,8,8.0
tandem_dual,5.2039124119923765e-05,CELL,128,1,8,8.0
tandem_dual,5.2039124119923765e-05,CELL,256,1,4,8.0
tandem_dual,5.2039124119923765e-05,CELL,512,1,4,8.0
ex3,0.015887921771775438,CELL,32,1,16,32.0
ex3,0.015887921771775438,CELL,64,1,8,32.0
ex3,0.015887921771775438,CELL,128,1,8,32.0
ex3,0.015887921771775438,CELL,256,1,8,32.0
ex3,0.015887921771775438,CELL,512,1,8,32.0
mycielskian4,0.3305785123966942,CELL,32,1,1,4.0
mycielskian4,0.3305785123966942,CELL,64,1,1,4.0
mycielskian4,0.3305785123966942,CELL,128,1,1,4.0
mycielskian4,0.3305785123966942,CELL,256,1,1,4.0
mycielskian4,0.3305785123966942,CELL,512,1,1,4.0
ted_A,0.003775246791197608,CELL,32,1,16,64.0
ted_A,0.003775246791197608,CELL,64,1,16,64.0
ted_A,0.003775246791197608,CELL,128,1,16,64.0
ted_A,0.003775246791197608,CELL,256,1,16,64.0
ted_A,0.003775246791197608,CELL,512,1,32,64.0
dwt_310,0.025473465140478668,CELL,32,1,2,8.0
dwt_310,0.025473465140478668,CELL,64,1,1,8.0
dwt_310,0.025473465140478668,CELL,128,1,2,8.0
dwt_310,0.025473465140478668,CELL,256,1,8,8.0
dwt_310,0.025473465140478668,CELL,512,1,8,8.0
oscil_dcop_50,0.008350459707950243,CELL,32,1,1,4.0
oscil_dcop_50,0.008350459707950243,CELL,64,1,1,4.0
oscil_dcop_50,0.008350459707950243,CELL,128,1,1,4.0
oscil_dcop_50,0.008350459707950243,CELL,256,1,2,4.0
oscil_dcop_50,0.008350459707950243,CELL,512,1,4,4.0
lhr07,0.0029073646357957728,CELL,32,1,16,32.0
lhr07,0.0029073646357957728,CELL,64,1,16,32.0
lhr07,0.0029073646357957728,CELL,128,1,32,32.0
lhr07,0.0029073646357957728,CELL,256,1,32,32.0
lhr07,0.0029073646357957728,CELL,512,1,32,32.0
rbsb480,0.07416666666666667,CELL,32,1,8,64.0
rbsb480,0.07416666666666667,CELL,64,1,8,64.0
rbsb480,0.07416666666666667,CELL,128,2,8,32.0
rbsb480,0.07416666666666667,CELL,256,1,8,64.0
rbsb480,0.07416666666666667,CELL,512,1,8,64.0
nos5,0.02361385053692746,CELL,32,1,4,16.0
nos5,0.02361385053692746,CELL,64,1,8,16.0
nos5,0.02361385053692746,CELL,128,1,8,16.0
nos5,0.02361385053692746,CELL,256,1,8,16.0
nos5,0.02361385053692746,CELL,512,1,8,16.0
Alemdar,0.0010918198129360173,CELL,32,1,8,8.0
Alemdar,0.0010918198129360173,CELL,64,1,8,8.0
Alemdar,0.0010918198129360173,CELL,128,1,8,8.0
Alemdar,0.0010918198129360173,CELL,256,1,8,8.0
Alemdar,0.0010918198129360173,CELL,512,1,8,8.0
G11,0.005,CELL,32,1,4,4.0
G11,0.005,CELL,64,1,4,4.0
G11,0.005,CELL,128,1,4,4.0
G11,0.005,CELL,256,1,4,4.0
G11,0.005,CELL,512,1,4,4.0
circuit_1,0.005202765978212374,CELL,32,1,16,8.0
