name,density,format,feat_size,num_parts,autotune_max_bucket,cost_model_max_bucket
celegans_metabolic,0.0198090727014897,CELL,32,1,2,8.0
celegans_metabolic,0.0198090727014897,CELL,64,1,2,8.0
celegans_metabolic,0.0198090727014897,CELL,128,1,4,8.0
celegans_metabolic,0.0198090727014897,CELL,256,1,4,8.0
celegans_metabolic,0.0198090727014897,CELL,512,1,4,8.0
Lin,2.6953125e-05,CELL,32,1,16,8.0
Lin,2.6953125e-05,CELL,64,1,16,8.0
Lin,2.6953125e-05,CELL,128,1,16,8.0
Lin,2.6953125e-05,CELL,256,1,16,8.0
Lin,2.6953125e-05,CELL,512,1,8,8.0
mesh3em5,0.022617066366542544,CELL,32,1,4,8.0
mesh3em5,0.022617066366542544,CELL,64,1,2,8.0
mesh3em5,0.022617066366542544,CELL,128,1,2,8.0
mesh3em5,0.022617066366542544,CELL,256,1,2,8.0
mesh3em5,0.022617066366542544,CELL,512,1,8,8.0
bayer05,0.0026064099932732974,CELL,32,1,8,64.0
bayer05,0.0026064099932732974,CELL,64,1,4,64.0
bayer05,0.0026064099932732974,CELL,128,1,8,64.0
bayer05,0.0026064099932732974,CELL,256,1,8,64.0
bayer05,0.0026064099932732974,CELL,512,1,8,64.0
fs_183_6,0.03192092926035415,CELL,32,1,2,4.0
fs_183_6,0.03192092926035415,CELL,64,1,2,4.0
fs_183_6,0.03192092926035415,CELL,128,1,2,4.0
fs_183_6,0.03192092926035415,CELL,256,1,2,4.0
fs_183_6,0.03192092926035415,CELL,512,1,2,4.0
utm300,0.035055555555555555,CELL,32,1,2,8.0
utm300,0.035055555555555555,CELL,64,1,2,8.0
utm300,0.035055555555555555,CELL,128,2,2,8.0
utm300,0.035055555555555555,CELL,256,2,4,8.0
utm300,0.035055555555555555,CELL,512,2,8,8.0
cage6,0.09076193779627703,CELL,32,1,4,8.0
cage6,0.09076193779627703,CELL,64,2,2,8.0
cage6,0.09076193779627703,CELL,128,2,2,8.0
cage6,0.09076193779627703,CELL,256,1,4,8.0
cage6,0.09076193779627703,CELL,512,4,4,5.0
adder_dcop_18,0.003421389127795242,CELL,32,1,8,8.0
adder_dcop_18,0.003421389127795242,CELL,64,1,8,8.0
adder_dcop_18,0.003421389127795242,CELL,128,1,8,8.0
adder_dcop_18,0.003421389127795242,CELL,256,1,8,8.0
adder_dcop_18,0.003421389127795242,CELL,512,1,8,8.0
barth4,0.0006484422521902108,CELL,32,1,8,4.0
barth4,0.0006484422521902108,CELL,64,1,4,4.0
barth4,0.0006484422521902108,CELL,128,1,4,4.0
barth4,0.0006484422521902108,CELL,256,1,8,4.0
barth4,0.0006484422521902108,CELL,512,1,8,4.0
oscil_dcop_02,0.008350459707950243,CELL,32,1,1,4.0
oscil_dcop_02,0.008350459707950243,CELL,64,1,1,4.0
oscil_dcop_02,0.008350459707950243,CELL,128,1,2,4.0
oscil_dcop_02,0.008350459707950243,CELL,256,1,2,4.0
oscil_dcop_02,0.008350459707950243,CELL,512,1,4,4.0
barrier2-1,0.00029759220279053226,CELL,32,1,8,32.0
barrier2-1,0.00029759220279053226,CELL,64,1,16,32.0
barrier2-1,0.00029759220279053226,CELL,128,1,8,32.0
barrier2-1,0.00029759220279053226,CELL,256,1,8,32.0
barrier2-1,0.00029759220279053226,CELL,512,1,8,32.0
fe_ocean,3.9816229854502686e-05,CELL,32,1,16,8.0
fe_ocean,3.9816229854502686e-05,CELL,64,1,8,8.0
fe_ocean,3.9816229854502686e-05,CELL,128,1,8,8.0
fe_ocean,3.9816229854502686e-05,CELL,256,1,8,8.0
fe_ocean,3.9816229854502686e-05,CELL,512,1,8,8.0
cbuckle,0.0036144460322306018,CELL,32,2,16,64.0
cbuckle,0.0036144460322306018,CELL,64,2,32,64.0
cbuckle,0.0036144460322306018,CELL,128,2,16,64.0
cbuckle,0.0036144460322306018,CELL,256,2,16,64.0
cbuckle,0.0036144460322306018,CELL,512,2,16,64.0
bfwb782,0.009782118118013357,CELL,32,1,4,8.0
bfwb782,0.009782118118013357,CELL,64,1,4,8.0
bfwb782,0.009782118118013357,CELL,128,1,4,8.0
bfwb782,0.009782118118013357,CELL,256,1,4,8.0
bfwb782,0.009782118118013357,CELL,512,1,8,8.0
mark3jac020,0.0006740570679572277,CELL,32,1,8,8.0
mark3jac020,0.0006740570679572277,CELL,64,1,8,8.0
mark3jac020,0.0006740570679572277,CELL,128,1,8,8.0
mark3jac020,0.0006740570679572277,CELL,256,1,8,8.0
mark3jac020,0.0006740570679572277,CELL,512,1,8,8.0
dynamicSoaringProblem_7,0.0030566747904883875,CELL,32,1,8,16.0
dynamicSoaringProblem_7,0.0030566747904883875,CELL,64,1,8,16.0
dynamicSoaringProblem_7,0.0030566747904883875,CELL,128,1,8,16.0
dynamicSoaringProblem_7,0.0030566747904883875,CELL,256,1,8,16.0
dynamicSoaringProblem_7,0.0030566747904883875,CELL,512,2,8,16.0
GD01_Acap,0.0007101889543045709,CELL,32,1,2,4.0
GD01_Acap,0.0007101889543045709,CELL,64,1,1,4.0
GD01_Acap,0.0007101889543045709,CELL,128,1,1,4.0
GD01_Acap,0.0007101889543045709,CELL,256,1,1,4.0
GD01_Acap,0.0007101889543045709,CELL,512,1,2,4.0
adder_dcop_36,0.003421389127795242,CELL,32,1,8,8.0
adder_dcop_36,0.003421389127795242,CELL,64,1,8,8.0
adder_dcop_36,0.003421389127795242,CELL,128,1,8,8.0
adder_dcop_36,0.003421389127795242,CELL,256,1,8,8.0
adder_dcop_36,0.003421389127795242,CELL,512,1,8,8.0
Trefethen_200b,0.07254867301330774,CELL,32,1,2,16.0
Trefethen_200b,0.07254867301330774,CELL,64,1,8,16.0
Trefethen_200b,0.07254867301330774,CELL,128,1,8,16.0
Trefethen_200b,0.07254867301330774,CELL,256,1,8,16.0
Trefethen_200b,0.07254867301330774,CELL,512,1,8,16.0
bfwb398,0.018370748213428954,CELL,32,1,4,8.0
bfwb398,0.018370748213428954,CELL,64,1,4,8.0
bfwb398,0.018370748213428954,CELL,128,1,4,8.0
bfwb398,0.018370748213428954,CELL,256,1,4,8.0
bfwb398,0.018370748213428954,CELL,512,1,4,8.0
tumorAntiAngiogenesis_3,0.023509815585960738,CELL,32,1,8,8.0
tumorAntiAngiogenesis_3,0.023509815585960738,CELL,64,1,8,8.0
tumorAntiAngiogenesis_3,0.023509815585960738,CELL,128,1,8,8.0
tumorAntiAngiogenesis_3,0.023509815585960738,CELL,256,1,8,8.0
tumorAntiAngiogenesis_3,0.023509815585960738,CELL,512,1,8,8.0
cavity12,0.011323008435579752,CELL,32,4,8,32.0
cavity12,0.011323008435579752,CELL,64,8,8,30.0
cavity12,0.011323008435579752,CELL,128,8,8,30.0
cavity12,0.011323008435579752,CELL,256,1,8,32.0
cavity12,0.011323008435579752,CELL,512,1,8,32.0
dwt_1007,0.00845619886218516,CELL,32,1,4,16.0
dwt_1007,0.00845619886218516,CELL,64,1,4,16.0
dwt_1007,0.00845619886218516,CELL,128,1,8,16.0
dwt_1007,0.00845619886218516,CELL,256,1,8,16.0
