name,num_rows,num_cols,nnz,avg_nnz_per_row,min_nnz_per_row,max_nnz_per_row,std_dev_nnz_per_row,avg_nnz_density_per_row,min_nnz_density_per_row,max_nnz_density_per_row,std_dev_nnz_density_per_row,K,best_num_partitions,best_max_bucket_width,exe_time_hyb,exe_time_naive,speed_to_naive
bloweybl,30003,30003,120000,3.99960004,1,10001,57.72925832,0.0001333066707,3.33E-05,0.3333333333,0.001924116199,32,1,16,0.0250982,0.627405,24.998
TSOPF_RS_b39_c19,38098,38098,684206,17.95910546,2,32,13.99598561,0.0004713923425,5.25E-05,0.0008399391044,0.0003673679881,32,1,64,0.0607949,1.499761,24.6692
lowThrust_9,18044,18044,219589,12.16964088,2,7016,73.86696198,0.0006744425226,0.0001108401685,0.388827311,0.004093713255,32,1,32,0.0227328,0.557312,24.5158
lowThrust_7,17378,17378,211561,12.17407066,2,6757,72.49062962,0.0007005449801,0.0001150880424,0.3888249511,0.004171402326,32,1,32,0.0223027,0.539095,24.1717
lowThrust_12,18458,18458,224593,12.16778633,2,7177,74.70972881,0.0006592147755,0.0001083541012,0.3888286922,0.004047552758,32,1,32,0.0239514,0.514724,21.4904
iprob,3001,3001,9000,2.999000333,2,3000,54.71750175,0.0009993336665,0.0006664445185,0.9996667777,0.01823308955,32,1,8,0.00878592,0.183429,20.8776
Sieber,2290,2290,14873,6.494759825,4,2289,67.47075199,0.002836139662,0.001746724891,0.9995633188,0.02946321048,32,1,16,0.00720896,0.14633,20.2984
TSOPF_RS_b9_c6,7224,7224,54082,7.486434109,2,11,3.499340836,0.001036328088,0.000276854928,0.001522702104,0.0004844048777,32,1,16,0.0118477,0.234506,19.7934
lowThrust_4,13562,13562,160947,11.86749742,2,5273,64.03090548,0.0008750551113,0.0001474708745,0.3888069606,0.004721346813,32,1,32,0.0187904,0.371794,19.7864
reorientation_8,3108,3108,37894,12.19240669,1,2920,52.46577281,0.003922910776,0.0003217503218,0.9395109395,0.01688087928,32,1,8,0.00928768,0.182733,19.6748
circuit_1,2624,2624,35823,13.65205793,1,2571,72.86616252,0.005202765978,0.000381097561,0.9798018293,0.02776911681,32,1,16,0.00822272,0.161679,19.6625
lowThrust_11,18368,18368,223801,12.18428789,2,7142,74.52758635,0.0006633431997,0.0001088850174,0.3888283972,0.004057468769,32,1,32,0.0232653,0.450273,19.3538
