name,num_rows,num_cols,nnz,avg_nnz_per_row,min_nnz_per_row,max_nnz_per_row,std_dev_nnz_per_row,avg_nnz_density_per_row,min_nnz_density_per_row,max_nnz_density_per_row,std_dev_nnz_density_per_row,K,best_num_partitions,best_max_bucket_width,autotuning_time(s),exe_time_hyb(ms),exe_time_naive(ms),speed_to_naive
dc2,116835,116835,766396,6.559643942,1,114190,361.4981023,5.61E-05,8.56E-06,0.977361236,0.003094091,32,1,64,1991.483017,0.106895,9.464719,88.5422
trans4,116835,116835,766396,6.559643942,1,114190,361.4981023,5.61E-05,8.56E-06,0.977361236,0.003094091,32,1,64,2153.739424,0.106742,9.40847,88.1422
dc1,116835,116835,766396,6.559643942,1,114190,361.4981023,5.61E-05,8.56E-06,0.977361236,0.003094091,32,1,64,2105.665011,0.107213,9.408758,87.7576
dc1,116835,116835,766396,6.559643942,1,114190,361.4981023,5.61E-05,8.56E-06,0.977361236,0.003094091,64,1,64,3061.623848,0.228014,13.989192,61.3523
dc2,116835,116835,766396,6.559643942,1,114190,361.4981023,5.61E-05,8.56E-06,0.977361236,0.003094091,64,1,64,2961.388728,0.228905,13.998837,61.1557
trans4,116835,116835,766396,6.559643942,1,114190,361.4981023,5.61E-05,8.56E-06,0.977361236,0.003094091,64,1,64,3187.834935,0.229222,13.994036,61.0501
ASIC_680k,682862,682862,3871773,5.66992013,1,395259,659.807358,8.30E-06,1.46E-06,0.578827054,0.000966238,32,1,128,11710.81961,0.616786,37.563351,60.9018
mult_dcop_02,25187,25187,193276,7.673641164,1,22767,143.8138605,0.000304667,3.97E-05,0.903918688,0.005709845,32,1,32,123.9424615,0.0277197,1.563617,56.4082
mult_dcop_01,25187,25187,193276,7.673641164,1,22767,143.8138605,0.000304667,3.97E-05,0.903918688,0.005709845,32,1,32,114.1131315,0.0277299,1.563986,56.4007
blockqp1,60012,60012,640033,10.66508365,2,40011,305.4301532,0.000177716,3.33E-05,0.666716657,0.005089485,32,1,64,626.8583488,0.065536,3.446241,52.5855
mult_dcop_01,25187,25187,193276,7.673641164,1,22767,143.8138605,0.000304667,3.97E-05,0.903918688,0.005709845,64,1,32,174.9056994,0.0581018,2.879375,49.5574
boyd1,93279,93279,1211231,12.98503414,3,93261,653.397365,0.000139206,3.22E-05,0.999807031,0.007004764,32,8,32,1304.720071,0.123054,6.044478,49.1205
mult_dcop_02,25187,25187,193276,7.673641164,1,22767,143.8138605,0.000304667,3.97E-05,0.903918688,0.005709845,64,2,16,184.3619753,0.0590438,2.883656,48.8393
brainpc2,27607,27607,179395,6.498170754,1,13799,131.2550629,0.000235381,3.62E-05,0.499836998,0.004754412,32,1,32,223.3470338,0.0257536,1.21388,47.1344
boyd1,93279,93279,1211231,12.98503414,3,93261,653.397365,0.000139206,3.22E-05,0.999807031,0.007004764,64,16,32,1190.832076,0.221522,9.65552,43.5872
ASIC_320k,321821,321821,2635364,8.18891247,1,203800,502.951409,2.54E-05,3.11E-06,0.633271291,0.00156283,32,1,64,3299.166731,0.379034,15.687086,41.387
hangGlider_5,16011,16011,155246,9.696208856,2,14231,112.4273591,0.000605597,0.000124914,0.888826432,0.007021882,64,1,16,19.86937343,0.0382259,1.538191,40.2395
hangGlider_4,15561,15561,149532,9.609408136,2,13831,110.8353632,0.000617532,0.000128526,0.888824626,0.007122638,32,1,32,24.8686858,0.0206234,0.824361,39.9721
ASIC_680k,682862,682862,3871773,5.66992013,1,395259,659.807358,8.30E-06,1.46E-06,0.578827054,0.000966238,64,1,64,12418.99155,1.20388,47.606503,39.5442
hangGlider_4,15561,15561,149532,9.609408136,2,13831,110.8353632,0.000617532,0.000128526,0.888824626,0.007122638,64,1,16,20.84307184,0.0372224,1.446205,38.8531
blockqp1,60012,60012,640033,10.66508365,2,40011,305.4301532,0.000177716,3.33E-05,0.666716657,0.005089485,64,2,64,767.4299447,0.13485,5.025249,37.2655
hangGlider_5,16011,16011,155246,9.696208856,2,14231,112.4273591,0.000605597,0.000124914,0.888826432,0.007021882,32,1,32,23.19318268,0.0211866,0.75734,35.7462
rajat21,411676,411676,1893370,4.599175079,1,118689,188.7726632,1.12E-05,2.43E-06,0.288306824,0.000458547,32,1,64,1393.64766,0.280852,9.912422,35.2941
Chebyshev3,4101,4101,36879,8.992684711,3,4101,127.8440129,0.002192803,0.000731529,1,0.031173863,64,2,32,313.3261632,0.0132403,0.465193,35.1346
brainpc2,27607,27607,179395,6.498170754,1,13799,131.2550629,0.000235381,3.62E-05,0.499836998,0.004754412,64,1,32,804.8306582,0.0557158,1.916406,34.3961
transient,178866,178866,961790,5.377153847,1,60423,147.1854846,3.01E-05,5.59E-06,0.337811546,0.000822881,32,1,64,240.595507,0.152945,5.252106,34.3398
