name,num_rows,num_cols,nnz,avg_nnz_per_row,min_nnz_per_row,max_nnz_per_row,std_dev_nnz_per_row,avg_nnz_density_per_row,min_nnz_density_per_row,max_nnz_density_per_row,std_dev_nnz_density_per_row,K,best_num_partitions,best_max_bucket_width,autotuning_time(s),exe_time_hyb(ms),exe_time_naive(ms),speed_to_naive
com-Orkut,3072441,3072441,234370166,76.28142119,1,33313,154.7812729,2.48E-05,3.25E-07,0.01084251903,5.04E-05,512,1,16,4257.697938,452.476,533.5979,1.17928
indochina-2004,7414866,7414866,194109311,26.17839769,0,6985,215.8300277,3.53E-06,0,0.0009420264641,2.91E-05,32,1,512,78196.90365,11.9633,10.303509,0.86126
indochina-2004,7414866,7414866,194109311,26.17839769,0,6985,215.8300277,3.53E-06,0,0.0009420264641,2.91E-05,64,2,32,29368.24468,18.4853,14.19523,0.76792
indochina-2004,7414866,7414866,194109311,26.17839769,0,6985,215.8300277,3.53E-06,0,0.0009420264641,2.91E-05,128,2,32,26921.03775,36.7533,28.126884,0.765289
indochina-2004,7414866,7414866,194109311,26.17839769,0,6985,215.8300277,3.53E-06,0,0.0009420264641,2.91E-05,256,1,1,2425.548108,inf,inf,nan
indochina-2004,7414866,7414866,194109311,26.17839769,0,6985,215.8300277,3.53E-06,0,0.0009420264641,2.91E-05,512,1,1,2369.723018,inf,inf,nan
Cube_Coup_dt6,2164760,2164760,127206144,58.76223877,24,68,4.471619519,2.71E-05,1.11E-05,3.14E-05,2.07E-06,32,2,64,1924.008874,6.10547,5.750416,0.941847
Cube_Coup_dt6,2164760,2164760,127206144,58.76223877,24,68,4.471619519,2.71E-05,1.11E-05,3.14E-05,2.07E-06,64,2,64,1731.40889,8.23807,8.25856,1.00249
Cube_Coup_dt6,2164760,2164760,127206144,58.76223877,24,68,4.471619519,2.71E-05,1.11E-05,3.14E-05,2.07E-06,128,1,64,2593.573179,16.2379,16.600689,1.02234
Cube_Coup_dt6,2164760,2164760,127206144,58.76223877,24,68,4.471619519,2.71E-05,1.11E-05,3.14E-05,2.07E-06,256,1,64,3157.067066,32.8724,33.250153,1.01149
Cube_Coup_dt6,2164760,2164760,127206144,58.76223877,24,68,4.471619519,2.71E-05,1.11E-05,3.14E-05,2.07E-06,512,1,64,4433.392973,66.0265,66.747536,1.01092
rgg_n_2_23_s0,8388608,8388608,127002786,15.13991189,0,40,3.894705294,1.80E-06,0,4.77E-06,4.64E-07,32,2,16,1475.493644,9.37993,8.208835,0.875149
rgg_n_2_23_s0,8388608,8388608,127002786,15.13991189,0,40,3.894705294,1.80E-06,0,4.77E-06,4.64E-07,64,4,16,1826.109287,13.999,12.282685,0.877397
rgg_n_2_23_s0,8388608,8388608,127002786,15.13991189,0,40,3.894705294,1.80E-06,0,4.77E-06,4.64E-07,128,4,16,2516.133207,28.2348,25.553356,0.905031
rgg_n_2_23_s0,8388608,8388608,127002786,15.13991189,0,40,3.894705294,1.80E-06,0,4.77E-06,4.64E-07,256,1,1,100.7944422,inf,inf,nan
rgg_n_2_23_s0,8388608,8388608,127002786,15.13991189,0,40,3.894705294,1.80E-06,0,4.77E-06,4.64E-07,512,1,1,101.399672,inf,inf,nan
Flan_1565,1564794,1564794,117406044,75.02971254,24,81,11.43169825,4.79E-05,1.53E-05,5.18E-05,7.31E-06,32,2,16,1055.495305,6.57905,5.321073,0.80879
Flan_1565,1564794,1564794,117406044,75.02971254,24,81,11.43169825,4.79E-05,1.53E-05,5.18E-05,7.31E-06,64,2,32,1096.873878,8.48777,7.378801,0.869345
Flan_1565,1564794,1564794,117406044,75.02971254,24,81,11.43169825,4.79E-05,1.53E-05,5.18E-05,7.31E-06,128,2,32,1275.748642,17.0646,14.725868,0.862948
Flan_1565,1564794,1564794,117406044,75.02971254,24,81,11.43169825,4.79E-05,1.53E-05,5.18E-05,7.31E-06,256,2,32,1520.692034,34.4424,29.555305,0.858108
Flan_1565,1564794,1564794,117406044,75.02971254,24,81,11.43169825,4.79E-05,1.53E-05,5.18E-05,7.31E-06,512,2,32,2002.552424,68.9721,59.27087,0.859346
hollywood-2009,1139905,1139905,113891327,99.91299889,1,11468,271.8649141,8.77E-05,8.77E-07,0.0100604875,0.0002384978696,32,1,32,3808.429365,6.65257,7.23497,1.08755
hollywood-2009,1139905,1139905,113891327,99.91299889,1,11468,271.8649141,8.77E-05,8.77E-07,0.0100604875,0.0002384978696,64,2,16,3484.869772,12.3626,13.780622,1.1147
hollywood-2009,1139905,1139905,113891327,99.91299889,1,11468,271.8649141,8.77E-05,8.77E-07,0.0100604875,0.0002384978696,128,2,16,3626.300357,24.7531,27.974346,1.13014
hollywood-2009,1139905,1139905,113891327,99.91299889,1,11468,271.8649141,8.77E-05,8.77E-07,0.0100604875,0.0002384978696,256,2,16,3273.028788,48.218,54.865124,1.13786
hollywood-2009,1139905,1139905,113891327,99.91299889,1,11468,271.8649141,8.77E-05,8.77E-07,0.0100604875,0.0002384978696,512,2,16,4272.404955,96.9865,109.448151,1.12849
ML_Geer,1504002,1504002,110879972,73.7232876,26,74,2.506874905,4.90E-05,1.73E-05,4.92E-05,1.67E-06,32,4,16,783.6966222,5.72995,5.022925,0.876609
ML_Geer,1504002,1504002,110879972,73.7232876,26,74,2.506874905,4.90E-05,1.73E-05,4.92E-05,1.67E-06,64,4,16,733.3063328,8.05192,6.668974,0.828246
